"Root","Kök dizin"
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","Bir öğenin seçilmiş olması gerekir. Seçin ve yeniden deneyin."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Gelişmiş"
