"Root","මූල"
"Category Flat Data","ප්‍රවර්ගය පැතලි දත්ත"
"Reorganize EAV category structure to flat structure","EAV කාණ්ඩයේ ව්‍යුහය පැතලි ව්‍යුහයට ප්‍රතිසංවිධානය කරන්න"
"Category Products","කාණ්ඩයේ නිෂ්පාදන"
"Indexed category/products association","සුචිගත කළ කාණ්ඩය/නිෂ්පාදන සංගමය"
"Product Categories","නිෂ්පාදන කාණ්ඩ"
"Indexed product/categories association","සුචිගත නිෂ්පාදන/කාණ්ඩ සංගමය"
"Product Price","නිෂ්පාදන මිල"
"Index product prices","දර්ශක නිෂ්පාදන මිල"
"Product EAV","නිෂ්පාදන EAV"
"Index product EAV","දර්ශක නිෂ්පාදනය EAV"
"Catalog New Products List","නාමාවලිය නව නිෂ්පාදන ලැයිස්තුව"
"List of Products that are set as New","නව ලෙස සකසා ඇති නිෂ්පාදන ලැයිස්තුව"
"Display Type","සංදර්ශක වර්ගය"
"All products - recently added products, New products - products marked as new","සියලුම නිෂ්පාදන - මෑතකදී එකතු කරන ලද නිෂ්පාදන, නව නිෂ්පාදන - නව ලෙස සලකුණු කරන ලද නිෂ්පාදන"
"All products","සියලුම නිෂ්පාදන"
"New products","නව නිෂ්පාදන"
"Display Page Control","සංදර්ශක පිටු පාලනය"
"Number of Products per Page","පිටුවකට නිෂ්පාදන ගණන"
"Number of Products to Display","ප්‍රදර්ශනය කළ යුතු නිෂ්පාදන ගණන"
"Template","සැකිල්ල"
"New Products Grid Template","නව නිෂ්පාදන ජාල සැකිල්ල"
"New Products List Template","නව නිෂ්පාදන ලැයිස්තු සැකිල්ල"
"New Products Images and Names Template","නව නිෂ්පාදන රූප සහ නම් සැකිල්ල"
"New Products Names Only Template","නව නිෂ්පාදන නම් පමණක් සැකිල්ල"
"New Products Images Only Template","නව නිෂ්පාදන රූප පමණක් සැකිල්ල"
"Cache Lifetime (Seconds)","හැඹිලි ආයු කාලය (තත්පර)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","නාමාවලි නිෂ්පාදන සබැඳිය"
"Link to a Specified Product","නිශ්චිත නිෂ්පාදනයක් වෙත සබැඳිය"
"Select Product...","නිෂ්පාදනය තෝරන්න..."
"Anchor Custom Text","ඇන්කර් අභිරුචි පෙළ"
"If empty, we'll use the product name here.","හිස් නම්, අපි මෙහි නිෂ්පාදන නාමය භාවිතා කරන්නෙමු."
"Anchor Custom Title","නැංගුරම් අභිරුචි මාතෘකාව"
"Product Link Block Template","නිෂ්පාදන සබැඳි බ්ලොක් අච්චුව"
"Product Link Inline Template","නිෂ්පාදන සබැඳි පේළි සැකිල්ල"
"Catalog Category Link","නාමාවලි කාණ්ඩ සබැඳිය"
"Link to a Specified Category","නිශ්චිත කාණ්ඩයකට සබැඳිය"
"Select Category...","වර්ගය තෝරන්න..."
"If empty, we'll use the category name here.","හිස් නම්, අපි මෙහි ප්‍රවර්ග නාමය භාවිත කරන්නෙමු."
"Category Link Block Template","ප්‍රවර්ග සබැඳි බ්ලොක් අච්චුව"
"Category Link Inline Template","ප්‍රවර්ග සබැඳිය පේළිගත අච්චුව"
"Recently Viewed Products","මෑතකදී නැරඹූ නිෂ්පාදන"
"List of Products Recently Viewed by Visitor","අමුත්තන් විසින් මෑතකදී බැලූ නිෂ්පාදන ලැයිස්තුව"
"UI Component","UI සංරචකය"
"Number of Products to display","ප්‍රදර්ශනය කළ යුතු නිෂ්පාදන ගණන"
"Product attributes to show","පෙන්වීමට නිෂ්පාදන ගුණාංග"
"Image","රූප"
"Learn More Link","වැඩිදුර ඉගෙන ගන්න සබැඳිය"
"Buttons to show","පෙන්වීමට බොත්තම්"
"Add to Wishlist","පැතුම් ලැයිස්තුවට එක් කරන්න"
"Viewed Products Grid Template","නිෂ්පාදන ජාල සැකිල්ල බැලුවා"
"Viewed Products List Template","නිෂ්පාදන ලැයිස්තු සැකිල්ල බැලුවා"
"Viewed Products Sidebar Template","නිෂ්පාදන පැති තීරු අච්චුව බැලුවා"
"Recently Compared Products","මෑතකදී සසඳන ලද නිෂ්පාදන"
"List of Products Recently Compared by Visitor","අමුත්තන් විසින් මෑතකදී සසඳන ලද නිෂ්පාදන ලැයිස්තුව"
"Compared Products Grid Template","සසඳන ලද නිෂ්පාදන ජාල සැකිල්ල"
"Compared Products List Template","සසඳන ලද නිෂ්පාදන ලැයිස්තු සැකිල්ල"
"Set","සකසන්න"
"Category Information","කාණ්ඩ තොරතුරු"
"Enable Category","ප්‍රවර්ගය සබල කරන්න"
"Include in Menu","මෙනුවේ ඇතුළත් කරන්න"
"Content","අන්තර්ගතය"
"Category Image","ප්රවර්ග රූපය"
"Description","විස්තර"
"Add CMS Block","CMS බ්ලොක් එක් කරන්න"
"Display Settings","සංදර්ශක සැකසුම්"
"Display Mode","සංදර්ශක මාදිලිය"
"Anchor","නැංගුරම"
"Available Product Listing Sort By","ලබා ගත හැකි නිෂ්පාදන ලැයිස්තුගත කිරීම"
"Use All","සියල්ල භාවිතා කරන්න"
"Default Product Listing Sort By","පෙරනිමි නිෂ්පාදන ලැයිස්තුගත කිරීම"
"Layered Navigation Price Step","ස්ථර සංචාලන මිල පියවර"
"URL Key","URL යතුර"
"Meta Title","මෙටා මාතෘකාව"
"Meta Keywords","මෙටා මූල පද"
"Meta Description","මෙටා විස්තරය"
"Products in Category","කාණ්ඩයේ නිෂ්පාදන"
"Design","නිර්මාණ"
"Theme","තේමාව"
"Layout","පිරිසැලසුම"
"Layout Update XML","පිරිසැලසුම යාවත්කාලීන XML"
"Apply Design to Products","නිෂ්පාදන සඳහා නිර්මාණය යොදන්න"
"Schedule Design Update","කාලසටහන සැලසුම් යාවත්කාලීන කිරීම"
"AttributeSetText","AttributeSetText"
"StatusText","තත්ව පෙළ"
"Product Image Watermarks","නිෂ්පාදන රූප ජල සලකුණු"
"Base","පදනම"
"Allowed file types: jpeg, gif, png.","අවසර ලත් ගොනු වර්ග: jpeg, gif, png."
"Image Opacity","රූප පාරාන්ධතාව"
"Example format: 200x300.","උදාහරණ ආකෘතිය: 200x300."
"Image Position","රූපයේ පිහිටීම"
"Attribute Properties","ගුණාංග ගුණාංග"
"Attribute Label","ගුණාංග ලේබලය"
"Catalog Input Type for Store Owner","ගබඩා හිමිකරු සඳහා නාමාවලි ආදාන වර්ගය"
"Values","වටිනාකම්"
"Add this attribute to the list of column options in the product grid.","නිෂ්පාදන ජාලයේ තීරු විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කරන්න."
"Add this attribute to the list of filter options in the product grid.","නිෂ්පාදන ජාලයේ පෙරහන් විකල්ප ලැයිස්තුවට මෙම ගුණාංගය එක් කරන්න."
"System","පද්ධතිය"
"All Store Views","සියලුම ගබඩා දර්ශන"
"Delete selected items?","තෝරාගත් අයිතම මකන්නද?"
"Delete items","අයිතම මකන්න"
"Change status","තත්ත්වය වෙනස් කරන්න"
"Enable","සබල කරන්න"
"Disable","අක්රිය කරන්න"
"Update attributes","ගුණාංග යාවත්කාලීන කරන්න"
"Overview","දළ විශ්ලේෂණය"
"Skip to the end of the images gallery","පින්තූර ගැලරියේ අවසානයට යන්න"
"Skip to the beginning of the images gallery","පින්තූර ගැලරියේ ආරම්භය වෙත යන්න"
"Details","විස්තර"
"Recently Compared","මෑතකදී සංසන්දනය කර ඇත"
"Add To Cart","ගැලට එක් කරන්න"
"Add To Compare","සංසන්දනය කිරීමට එකතු කරන්න"
"Learn more","තවත් හදාරන්න"
"Recently Viewed","මෑතකදී බැලුවා"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","ඔබට මෙම ප්‍රවර්ගය මැකීමට අවශ්‍ය බව විශ්වාසද?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","ගොනු වලංගු කිරීම අසාර්ථක විය."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","සම්පූර්ණ ගොනු මාර්ගය අපේක්ෂා කෙරේ."
"from","සිට"
"to","වෙත"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","දෝෂයක් හේතුවෙන් ගුණාංගය සුරැකිය නොහැක. ඔබගේ තොරතුරු තහවුරු කර නැවත උත්සාහ කරන්න. දෝෂය දිගටම පවතින්නේ නම්, කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","දෝෂයක් හේතුවෙන් ගුණාංගය වලංගු කළ නොහැකි විය. ඔබගේ තොරතුරු තහවුරු කර නැවත උත්සාහ කරන්න. දෝෂය දිගටම පවතින්නේ නම්, කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Tier prices data should be array, but actually other type is received","ස්ථර මිල දත්ත අරාව විය යුතුය, නමුත් ඇත්ත වශයෙන්ම වෙනත් වර්ගයක් ලැබේ"
"Price indexer ""%1"" must implement %2 or %3","මිල දර්ශක ""%1"" %2 හෝ %3ක්‍රියාත්මක කළ යුතුය"
"You added product %1 to the <a href=""%2"">comparison list</a>.","ඔබ නිෂ්පාදන %1 <a href=""%2"">සංසන්දන ලැයිස්තුවට</a>එකතු කළා."
"Maximum %1 characters","උපරිම අක්ෂර %1 යි"
"remaining","ඉතිරි"
"too many","ඕනෑවට වඩා"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","මෙම අගය නිශ්චිත ආකෘතිය අනුගමනය නොකරයි (උදාහරණයක් ලෙස, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Category Pagination මතක තබා ගන්න"
"Changing may affect SEO and cache storage consumption.","වෙනස් කිරීම SEO සහ හැඹිලි ගබඩා පරිභෝජනයට බලපෑ හැකිය."
"Images Upload Configuration","පින්තූර උඩුගත කිරීමේ වින්‍යාසය"
"Quality","ගුණාත්මක"
"Jpeg quality for resized images 1-100%.","ප්‍රතිප්‍රමාණ කළ රූප සඳහා Jpeg ගුණත්වය 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","""%1"" ගුණාංගය අවශ්‍ය වේ. ඇතුල් කර නැවත උත්සාහ කරන්න."
"Attributes were missing and must be specified.","ගුණාංග අස්ථානගත වී ඇති අතර ඒවා සඳහන් කළ යුතුය."
"The value of Admin must be unique. (%1)","පරිපාලකගේ වටිනාකම අද්විතීය විය යුතුය. (%1)"
"The product was unable to be saved. Please try again.","නිෂ්පාදනය සුරැකීමට නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","""%1"" ගුණාංගයේ අගය අද්විතීය නොවේ. අද්විතීය අගයක් සකසා නැවත උත්සාහ කරන්න."
"The category doesn't contain the specified product.","ප්‍රවර්ගයෙහි නිශ්චිත නිෂ්පාදනය අඩංගු නොවේ."
"The %1 value wasn't found in the algorithms.","ඇල්ගොරිතම වල %1 අගය සොයාගත නොහැකි විය."
"The filters are invalid. Set them in an array and try again.","පෙරහන් වලංගු නොවේ. ඒවා අරාවකට සකසා නැවත උත්සාහ කරන්න."
"The product wasn't registered.","නිෂ්පාදිතය ලියාපදිංචි කර නැත."
"The store wasn't registered. Verify the store and try again.","ගබඩාව ලියාපදිංචි කර නැත. ගබඩාව තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" attribute value is empty. Set the attribute and try again.","""%1"" ගුණාංගය හිස්ය. ගුණාංගය සකසා නැවත උත්සාහ කරන්න."
"The attribute set couldn't be created because it's based on a non-product attribute set.","එය නිෂ්පාදන නොවන උපලක්ෂණ කට්ටලයක් මත පදනම් වී ඇති නිසා උපලක්ෂණ කට්ටලය නිර්මාණය කළ නොහැක."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","එය නොපවතින උපලක්ෂණ කට්ටලයක් මත පදනම් වූ නිසා උපලක්ෂණ කට්ටලය නිර්මාණය කළ නොහැක."
"The image content is invalid. Verify the content and try again.","රූපයේ අන්තර්ගතය වලංගු නැත. අන්තර්ගතය තහවුරු කර නැවත උත්සාහ කරන්න."
"The product can't be saved.","නිෂ්පාදිතය සුරැකිය නොහැක."
"The new media gallery entry failed to save.","නව මාධ්‍ය ගැලරිය ප්‍රවේශය සුරැකීමට අසමත් විය."
"No image with the provided ID was found. Verify the ID and try again.","සපයා ඇති හැඳුනුම්පත සහිත රූපයක් හමු නොවීය. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The product doesn't exist. Verify and try again.","නිෂ්පාදනය නොපවතී. තහවුරු කර නැවත උත්සාහ කරන්න."
"The image doesn't exist. Verify and try again.","රූපය නොපවතී. තහවුරු කර නැවත උත්සාහ කරන්න."
"The image doesn't exist.","රූපය නොපවතී."
"The image type for the file is invalid. Enter the correct image type and try again.","ගොනුව සඳහා රූප වර්ගය වලංගු නොවේ. නිවැරදි රූප වර්ගය ඇතුළත් කර නැවත උත්සාහ කරන්න."
"The ""%1"" file couldn't be moved.","""%1"" ගොනුව ගෙන යාමට නොහැකි විය."
"The ProductSku is empty. Set the ProductSku and try again.","ProductSku හිස් ය. ProductSku සකසා නැවත උත්සාහ කරන්න."
"The custom option couldn't be removed.","අභිරුචි විකල්පය ඉවත් කළ නොහැකි විය."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","නිෂ්පාදනයේ අවශ්‍ය විකල්පය(ය) ඇතුළත් කර නැත. විකල්ප ඇතුළත් කර ඇති බවට වග බලා ගෙන නැවත උත්සාහ කරන්න."
"The file options format is invalid. Use a correct format and try again.","ගොනු විකල්ප ආකෘතිය වලංගු නොවේ. නිවැරදි ආකෘතියක් භාවිතා කර නැවත උත්සාහ කරන්න."
"The file ""%1"" is empty. Select another file and try again.","""%1"" ගොනුව හිස් ය. වෙනත් ගොනුවක් තෝරා නැවත උත්සාහ කරන්න."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","වලංගු කිරීම අසාර්ථක විය. අවශ්‍ය විකල්ප ඇතුළත් කර ගොනුව උඩුගත කර ඇති බවට වග බලා ගන්න, ඉන්පසු නැවත උත්සාහ කරන්න."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","ගොනුව ඉතා විශාල වූ අතර උඩුගත කළ නොහැකි විය. %1 MB වලට වඩා කුඩා ගොනුවක් භාවිතා කර නැවත උඩුගත කිරීමට උත්සාහ කරන්න."
"The required option wasn't entered. Enter the option and try again.","අවශ්‍ය විකල්පය ඇතුළත් කර නැත. විකල්පය ඇතුළත් කර නැවත උත්සාහ කරන්න."
"The file is empty. Select another file and try again.","ගොනුව හිස් ය. වෙනත් ගොනුවක් තෝරා නැවත උත්සාහ කරන්න."
"The text is too long. Shorten the text and try again.","පෙළ දිග වැඩියි. පෙළ කෙටි කර නැවත උත්සාහ කරන්න."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","ඉල්ලූ නිෂ්පාදනය නොපවතී. නිෂ්පාදනය සත්‍යාපනය කර නැවත උත්සාහ කරන්න. පේළි හැඳුනුම්පත: SKU = %SKU, ගබඩා ID: %storeId, මිල සිට: %pසහල් සිට, මිල දක්වා: %pසහල් දක්වා."
"Tier price is unavailable for this product.","මෙම නිෂ්පාදනය සඳහා ස්ථර මිල නොමැත."
"The tier_price data is invalid. Verify the data and try again.","ස්ථර_මිල දත්ත වලංගු නැත. දත්ත තහවුරු කර නැවත උත්සාහ කරන්න."
"The group price couldn't be saved.","සමූහයේ මිල සුරැකිය නොහැකි විය."
"The data was invalid. Verify the data and try again.","දත්ත වලංගු නැත. දත්ත තහවුරු කර නැවත උත්සාහ කරන්න."
"Values in the %1 attributes are invalid. Verify the values and try again.","%1 ගුණාංගවල අගයන් වලංගු නොවේ. අගයන් තහවුරු කර නැවත උත්සාහ කරන්න."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","ගොනු උඩුගත කිරීම අසාර්ථක විය. නැවත උඩුගත කිරීමට උත්සාහ කරන්න."
"The product has required options. Enter the options and try again.","නිෂ්පාදනයට අවශ්ය විකල්ප ඇත. විකල්ප ඇතුළත් කර නැවත උත්සාහ කරන්න."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","""%1"" හැඳුනුම්පත සහිත කණ්ඩායම නොපවතී. හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The attribute group can't be deleted because it contains system attributes.","උපලක්ෂණ සමූහය එහි පද්ධති උපලක්ෂණ අඩංගු බැවින් එය මැකිය නොහැක."
"The collection provider isn't registered.","එකතු කිරීමේ සැපයුම්කරු ලියාපදිංචි වී නොමැත."
"The ""%1"" link type is unknown. Verify the type and try again.","""%1"" සබැඳි වර්ගය නොදනී. වර්ගය තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" link type wasn't found. Verify the type and try again.","""%1"" සබැඳි වර්ගය හමු නොවීය. වර්ගය තහවුරු කර නැවත උත්සාහ කරන්න."
"The linked products data is invalid. Verify the data and try again.","සම්බන්ධිත නිෂ්පාදන දත්ත වලංගු නොවේ. දත්ත තහවුරු කර නැවත උත්සාහ කරන්න."
"The product that was requested doesn't exist. Verify the product and try again.","ඉල්ලූ නිෂ්පාදනය නොපවතී. නිෂ්පාදනය සත්‍යාපනය කර නැවත උත්සාහ කරන්න."
"The Product with the ""%1"" SKU doesn't exist.","""%1"" SKU සහිත නිෂ්පාදනය නොපවතී."
"The ""%1"" product couldn't be removed.","""%1"" නිෂ්පාදනය ඉවත් කළ නොහැකි විය."
"Category with ID: %s doesn't exist","ID සහිත ප්‍රවර්ගය: %s නොපවතී"
"Product Name or SKU","නිෂ්පාදන නම හෝ SKU"
"Start typing to find products","නිෂ්පාදන සොයා ගැනීමට ටයිප් කිරීම ආරම්භ කරන්න"
"Product with ID: %s doesn't exist","ID සහිත නිෂ්පාදනය: %s නොපවතී"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 WysiwygConfigDataProcessorInterface ක්‍රියාත්මක නොකරයි. එය මඟ හරිනු ඇත"
"An item needs to be selected. Select and try again.","අයිතමයක් තෝරා ගැනීමට අවශ්ය වේ. තෝරා නැවත උත්සාහ කරන්න."
"Use Static URLs for Media Content in WYSIWYG","WYSIWYG හි මාධ්‍ය අන්තර්ගතය සඳහා ස්ථිතික URL භාවිතා කරන්න"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","මාධ්‍ය අන්තර්ගතය ස්ථිතික URL එකක් ලෙස සංස්කාරකයට ඇතුළත් කෙරේ. පද්ධති වින්‍යාස මූලික URL වෙනස් වුවහොත් මාධ්‍ය අන්තර්ගතය යාවත්කාලීන නොවේ."
"Default Layouts","පෙරනිමි පිරිසැලසුම්"
"Default Product Layout","පෙරනිමි නිෂ්පාදන පිරිසැලසුම"
"Default Category Layout","පෙරනිමි ප්‍රවර්ග පිරිසැලසුම"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","විජට් යාවත්කාලීන අතර තත්පර 
                    කාලය.
                    <br/>සකසා නොමැති නම්, තත්පර 86400 (පැය 24) ට සමාන වේ. විජට් ක්ෂණිකව යාවත්කාලීන කිරීමට, හැඹිලි කළමනාකරණය වෙත ගොස් බ්ලොක් HTML ප්‍රතිදාන හැඹිලි ඉවත් කරන්න.
                    <br/>Widget හැඹිලිය නැවුම් කරන තෙක් නිශ්චිත කොන්දේසි වලට ගැලපෙන නිෂ්පාදන නොපෙන්වයි.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","පෙළ සංස්කාරක ආදාන වර්ගය සඳහා වෙළඳසැල් > වින්‍යාස කිරීම > අන්තර්ගත කළමනාකරණය තුළ WYSIWYG සබල කිරීම අවශ්‍ය වේ."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","උසස්"
