"Root","રુટ"
"Products per Page on Grid Default Value","ગ્રીડ ડિફaultલ્ટ મૂલ્ય પર પૃષ્ઠ દીઠ ઉત્પાદનો"
"Must be in the allowed values list","માન્ય કિંમતોની સૂચિમાં હોવા આવશ્યક છે"
"Products per Page on List Allowed Values","અનુમતિ મૂલ્યોની સૂચિ પર પૃષ્ઠ દીઠ ઉત્પાદનો"
"Products per Page on List Default Value","સૂચિ ડિફaultલ્ટ મૂલ્ય પર પૃષ્ઠ દીઠ ઉત્પાદનો"
"Use Flat Catalog Category","ફ્લેટ કેટલોગ કેટેગરી વાપરો"
"Use Flat Catalog Product","ફ્લેટ કેટલોગ ઉત્પાદનનો ઉપયોગ કરો"
"Product Listing Sort by","દ્વારા ઉત્પાદન સૂચિ સ Sર્ટ કરો"
"Allow All Products per Page","પૃષ્ઠ દીઠ બધા ઉત્પાદનોને મંજૂરી આપો"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","""પેજ પર બતાવો એક્સ"" ડ્રોપડાઉનમાં ""બધા"" વિકલ્પ બતાવવો કે નહીં"
"Allow Dynamic Media URLs in Products and Categories","પ્રોડક્ટ્સ અને કેટેગરીઝમાં ગતિશીલ મીડિયા URL ને મંજૂરી આપો"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","દા.ત. ur {મીડિયા url = ""પાથ / થી / image.jpg""}} {{ત્વચા url = ""પાથ / થી / ચિત્ર.gif""}}. ઇફેક્ટ્સ કેટલોગ પ્રભાવને વિશ્લેષિત કરવાના ગતિશીલ નિર્દેશો."
"Product Image Placeholders","ઉત્પાદન છબી જગ્યામાં"
"Search Engine Optimization","શોધ એંજિન Opપ્ટિમાઇઝેશન"
"Page Title Separator","પૃષ્ઠ શીર્ષક વિભાજક"
"Use Canonical Link Meta Tag For Categories","શ્રેણીઓ માટે કેનોનિકલ લિંક મેટા ટેગનો ઉપયોગ કરો"
"Use Canonical Link Meta Tag For Products","ઉત્પાદનો માટે કેનોનિકલ લિંક મેટા ટેગનો ઉપયોગ કરો"
"Catalog Price Scope","કેટલોગ ભાવ અવકાશ"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","આ મૂળ ચલણ અવકાશ (""કરન્સી સેટઅપ""> ""કરન્સી વિકલ્પો""> ""બેઝ કરન્સી"") ને વ્યાખ્યાયિત કરે છે."
"Category Top Navigation","કેટેગરી ટોચની નેવિગેશન"
"Maximal Depth","મહત્તમ Depંડાઈ"
"Date & Time Custom Options","તારીખ અને સમય કસ્ટમ વિકલ્પો"
"Use JavaScript Calendar","જાવાસ્ક્રિપ્ટ ક Calendarલેન્ડરનો ઉપયોગ કરો"
"Date Fields Order","તારીખ ક્ષેત્રોનો ઓર્ડર"
"Time Format","સમય ફોર્મેટ"
"Year Range","વર્ષ રેંજ"
"Please use a four-digit year format.","કૃપા કરી ચાર-અંકનું વર્ષનું બંધારણ વાપરો."
"Use Static URLs for Media Content in WYSIWYG for Catalog","કેટલોગ માટે WYSIWYG માં મીડિયા સામગ્રી માટે સ્થિર URL નો ઉપયોગ કરો"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","આ ફક્ત સૂચિ ઉત્પાદનો અને કેટેગરીમાં જ લાગુ પડે છે. સ્થિર URL તરીકે સંપાદકમાં મીડિયા સામગ્રી શામેલ કરવામાં આવશે. જો સિસ્ટમ કન્ફિગરેશન બેઝ URL બદલાય છે તો મીડિયા સામગ્રી અપડેટ કરવામાં આવતી નથી."
"Top Level Category","ટોચનું સ્તર કેટેગરી"
"Product Info Column","ઉત્પાદન માહિતી કumnલમ"
"Block after Info Column","માહિતી કumnલમ પછી અવરોધિત કરો"
"Product Flat Data","ઉત્પાદન ફ્લેટ ડેટા"
"Reorganize EAV product structure to flat structure","ઇએવી ઉત્પાદન સ્ટ્રક્ચરને ફ્લેટ સ્ટ્રક્ચરમાં ફરીથી ગોઠવો"
"Category Flat Data","વર્ગ ફ્લેટ ડેટા"
"Reorganize EAV category structure to flat structure","EAV કેટેગરી સ્ટ્રક્ચરને ફ્લેટ સ્ટ્રક્ચરમાં ફરીથી ગોઠવો"
"Category Products","વર્ગ ઉત્પાદનો"
"Indexed category/products association","અનુક્રમણિકા વર્ગ / ઉત્પાદનો મંડળ"
"Product Categories","ઉત્પાદન શ્રેણીઓ"
"Indexed product/categories association","અનુક્રમિત ઉત્પાદન / કેટેગરીઝ એસોસિએશન"
"Product Price","ઉત્પાદન કિંમત"
"Index product prices","અનુક્રમણિકાના ભાવ"
"Product EAV","પ્રોડક્ટ ઇએવી"
"Index product EAV","અનુક્રમણિકા ઉત્પાદન ઇએવી"
"Catalog New Products List","કેટલોગ નવા ઉત્પાદનોની સૂચિ"
"List of Products that are set as New","નવા તરીકે સેટ કરેલા ઉત્પાદનોની સૂચિ"
"Display Type","પ્રદર્શન પ્રકાર"
"All products - recently added products, New products - products marked as new","બધા ઉત્પાદનો - તાજેતરમાં ઉમેરવામાં આવેલા ઉત્પાદનો, નવા ઉત્પાદનો - ઉત્પાદનોને નવા તરીકે ચિહ્નિત કર્યા છે"
"All products","બધા ઉત્પાદનો"
"New products","નવા ઉત્પાદનો"
"Display Page Control","પૃષ્ઠ નિયંત્રણ દર્શાવો"
"Number of Products per Page","પૃષ્ઠ દીઠ ઉત્પાદનોની સંખ્યા"
"Number of Products to Display","પ્રદર્શિત કરવા માટેના ઉત્પાદનોની સંખ્યા"
"Template","Templateાંચો"
"New Products Grid Template","નવા ઉત્પાદનો ગ્રીડ .ાંચો"
"New Products List Template","નવા ઉત્પાદનો યાદી .ાંચો"
"New Products Images and Names Template","નવા ઉત્પાદનો છબીઓ અને નામો Templateાંચો"
"New Products Names Only Template","નવા ઉત્પાદનો નામ ફક્ત Templateાંચો"
"New Products Images Only Template","નવા ઉત્પાદનો છબીઓ ફક્ત Templateાંચો"
"Cache Lifetime (Seconds)","કેશ લાઇફટાઇમ (સેકંડ)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","ડિફ defaultલ્ટ રૂપે 86400, જો સેટ કરેલું નથી. તાત્કાલિક તાજું કરવા માટે, બ્લોક્સ એચટીએમએલ આઉટપુટ કેશ સાફ કરો."
"Catalog Product Link","કેટલોગ ઉત્પાદન લિંક"
"Link to a Specified Product","કોઈ ઉલ્લેખિત ઉત્પાદનની લિંક"
"Select Product...","ઉત્પાદન પસંદ કરો ..."
"Anchor Custom Text","એન્કર કસ્ટમ ટેક્સ્ટ"
"If empty, we'll use the product name here.","જો ખાલી હોય, તો અમે અહીં ઉત્પાદનના નામનો ઉપયોગ કરીશું."
"Anchor Custom Title","એન્કર કસ્ટમ શીર્ષક"
"Product Link Block Template","ઉત્પાદન લિંક બ્લોક Templateાંચો"
"Product Link Inline Template","ઉત્પાદન લિંક ઇનલાઇન Templateાંચો"
"Catalog Category Link","કેટલોગ કેટેગરી લિંક"
"Link to a Specified Category","એક સ્પષ્ટ કેટેગરી સાથે લિંક"
"Select Category...","કેટેગરી પસંદ કરો ..."
"If empty, we'll use the category name here.","જો ખાલી હોય, તો અમે અહીં કેટેગરીના નામનો ઉપયોગ કરીશું."
"Category Link Block Template","કેટેગરી લિંક બ્લોક Templateાંચો"
"Category Link Inline Template","કેટેગરી લિંક ઇનલાઇન Templateાંચો"
"Recently Viewed Products","તાજેતરમાં જોવાયેલ ઉત્પાદનો"
"List of Products Recently Viewed by Visitor","વપરાશકર્તાઓ દ્વારા તાજેતરમાં જોવાયેલ ઉત્પાદનોની સૂચિ"
"UI Component","UI કમ્પોનન્ટ"
"Number of Products to display","પ્રદર્શિત કરવા માટેના ઉત્પાદનોની સંખ્યા"
"Product attributes to show","બતાવવા માટે ઉત્પાદન ગુણધર્મો"
"Image","છબી"
"Learn More Link","વધુ કડી જાણો"
"Buttons to show","બતાવવા માટે બટનો"
"Add to Wishlist","ઈચ્છા ની યાદ I માં ઉમેરવું"
"Viewed Products Grid Template","જોવાયા ઉત્પાદનો ગ્રીડ .ાંચો"
"Viewed Products List Template","જોવાયેલ ઉત્પાદનોની સૂચિ .ાંચો"
"Viewed Products Sidebar Template","જોવાયા પ્રોડક્ટ્સ સાઇડબાર Templateાંચો"
"Recently Compared Products","તાજેતરમાં ઉત્પાદનોની તુલના"
"List of Products Recently Compared by Visitor","મુલાકાતી દ્વારા તાજેતરની સરખામણીમાં ઉત્પાદનોની સૂચિ"
"Compared Products Grid Template","ઉત્પાદનો સરખામણી કરો ગ્રીડ .ાંચો"
"Compared Products List Template","ઉત્પાદનોની સૂચિની તુલના કરો"
"Set","સેટ કરો"
"Category Information","વર્ગ માહિતી"
"Enable Category","કેટેગરી સક્ષમ કરો"
"Include in Menu","મેનુમાં શામેલ કરો"
"Content","સામગ્રી"
"Category Image","કેટેગરી છબી"
"Description","વર્ણન"
"Add CMS Block","સીએમએસ બ્લોક ઉમેરો"
"Display Settings","ડિસ્પ્લે સેટિંગ્સ"
"Display Mode","પ્રદર્શન મોડ"
"Anchor","એન્કર"
"Available Product Listing Sort By","ઉપલબ્ધ ઉત્પાદન સૂચિ દ્વારા સortર્ટ કરો"
"Use All","બધા વાપરો"
"Default Product Listing Sort By","ડિફaultલ્ટ ઉત્પાદન સૂચિ દ્વારા સortર્ટ કરો"
"Layered Navigation Price Step","સ્તરવાળી નેવિગેશન ભાવ પગલું"
"URL Key","URL કી"
"Meta Title","મેટા શીર્ષક"
"Meta Keywords","મેટા કીવર્ડ્સ"
"Meta Description","મેટા વર્ણન"
"Products in Category","વર્ગમાં ઉત્પાદનો"
"Design","ડિઝાઇન"
"Theme","થીમ"
"Layout","લેઆઉટ"
"Layout Update XML","લેઆઉટ અપડેટ એક્સએમએલ"
"Apply Design to Products","ઉત્પાદનો પર ડિઝાઇન લાગુ કરો"
"Schedule Design Update","શેડ્યૂલ ડિઝાઇન અપડેટ"
"AttributeSetText","એટ્રિબ્યુટસેટ ટેક્સ્ટ"
"StatusText","સ્ટેટસ ટેક્સ્ટ"
"Product Image Watermarks","ઉત્પાદન છબી વ Waterટરમાર્ક્સ"
"Base","પાયો"
"Allowed file types: jpeg, gif, png.","માન્ય ફાઇલ પ્રકારો: જેપીએજી, જીઆઈફ, પી.એન.જી."
"Image Opacity","છબી અસ્પષ્ટ"
"Example format: 200x300.","ઉદાહરણ ફોર્મેટ: 200x300."
"Image Position","છબી પોઝિશન"
"Attribute Properties","ગુણધર્મો ગુણધર્મો"
"Attribute Label","એટ્રિબ્યુટ લેબલ"
"Catalog Input Type for Store Owner","સ્ટોર માલિક માટે કેટલોગ ઇનપુટ પ્રકાર"
"Values","મૂલ્યો"
"Add this attribute to the list of column options in the product grid.","આ લક્ષણને ઉત્પાદન ગ્રીડના ક columnલમ વિકલ્પોની સૂચિમાં ઉમેરો."
"Add this attribute to the list of filter options in the product grid.","આ લક્ષણને ઉત્પાદન ગ્રીડમાંના ફિલ્ટર વિકલ્પોની સૂચિમાં ઉમેરો."
"System","સિસ્ટમ"
"All Store Views","બધા સ્ટોર જોવાયા"
"Delete selected items?","પસંદ કરેલી આઇટમ્સ કા Deleteી નાખો?"
"Delete items","આઇટમ્સ કા Deleteી નાખો"
"Change status","સ્થિતિ બદલો"
"Enable","સક્ષમ કરો"
"Disable","અક્ષમ કરો"
"Update attributes","લક્ષણો સુધારો"
"Overview","અવલોકન"
"Skip to the end of the images gallery","છબીઓ ગેલેરીના અંત પર જાઓ"
"Skip to the beginning of the images gallery","છબીઓ ગેલેરીની શરૂઆત પર જાઓ"
"Details","વિગતો"
"Recently Compared","તાજેતરમાં સરખામણી"
"Add To Cart","સૂચી માં સામેલ કરો"
"Add To Compare","સરખામણી કરો"
"Learn more","વધુ શીખો"
"Recently Viewed","તાજેતરમાં જોવાયેલ"
"Save Category","કેટેગરી સાચવો"
"Delete Category","કેટેગરી કા .ી નાખો"
"New Subcategory","નવી ઉપકેટેગરી"
"New Root Category","નવી રુટ કેટેગરી"
"Set Root Category for Store","સ્ટોર માટે રૂટ કેટેગરી સેટ કરો"
"Custom Design","કસ્ટમ ડિઝાઇન"
"Category Data","કેટેગરી ડેટા"
"Not shared with other products","અન્ય ઉત્પાદનો સાથે શેર કરેલ નથી"
"Declare attribute value saving scope","લક્ષણ મૂલ્ય બચાવ અવકાશ જાહેર કરો"
"Depends on design theme","ડિઝાઇન થીમ પર આધારીત છે"
"We saved the price alert subscription.","અમે ભાવ ચેતવણી સબ્સ્ક્રિપ્શન સાચવ્યું."
"We saved the stock notification.","અમે સ્ટોક સૂચના સાચવી."
"Images and Videos","છબીઓ અને વિડિઓઝ"
"Click here or drag and drop to add images.","છબીઓ ઉમેરવા અહીં ક્લિક કરો અથવા ખેંચો અને છોડો."
"Make Base","બેઝ બનાવો"
"There was a category move error. %1","એક કેટેગરીમાં ખસેડવાની ભૂલ હતી. %1"
"You moved the category","તમે કેટેગરી ખસેડી"
"This product no longer exists.","આ ઉત્પાદન હવે અસ્તિત્વમાં નથી."
"We can't find the image file.","અમને ઇમેજ ફાઇલ મળી નથી."
"productFactory is already set","પ્રોડક્ટ ફેક્ટરી પહેલેથી સેટ છે"
"Could not save product option","ઉત્પાદન વિકલ્પ સાચવી શક્યા નહીં"
"Product option with id %1 does not exist","%1 id સાથેનો ઉત્પાદન વિકલ્પ અસ્તિત્વમાં નથી"
"Are you sure you want to delete this category?","શું તમે ખરેખર આ કેટેગરીને કા deleteી નાખવા માંગો છો?"
"ID: %1","ID:%1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","<a href=""%1""> ગોઠવણી </a> માં આ સ્ટોર માટે રૂટ કેટેગરી સેટ કરો."
"Manage Options (values of your attribute)","વિકલ્પો મેનેજ કરો (તમારા લક્ષણના મૂલ્યો)"
"An attribute group named ""/name/"" already exists"".","""/ નામ /"" નામનું લક્ષણ જૂથ પહેલેથી જ અસ્તિત્વમાં છે."
"Close panel","પેનલ બંધ કરો"
"Allow Multiple Boxes for Shipping.","શિપિંગ માટે બહુવિધ બesક્સેસને મંજૂરી આપો."
"Ok","બરાબર"
"Watermark Default Size","વ Waterટરમાર્ક ડિફaultલ્ટ કદ"
"Watermark Opacity, Percent","વોટરમાર્ક અસ્પષ્ટ, ટકાવારી"
"Watermark","વોટરમાર્ક"
"Watermark Position","વોટરમાર્ક પોઝિશન"
"none","કંઈ નહીં"
"File validation failed.","ફાઇલ માન્યતા નિષ્ફળ."
"text","ટેક્સ્ટ"
"Tier Price","ટાયર ભાવ"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","જો તમારી મેજેન્ટો સાઇટમાં બહુવિધ દૃશ્યો છે, તો તમે કોઈ વિશિષ્ટ દૃશ્ય પર લાગુ થવા માટેનો અવકાશ સેટ કરી શકો છો."
"Sort Products By","દ્વારા સ Productsર્ટ કરો પ્રોડક્ટ્સ"
"Default Product Sorting","ડિફોલ્ટ પ્રોડક્ટ સortર્ટિંગ"
"Use Parent Category Settings","પેરેંટલ કેટેગરી સેટિંગ્સનો ઉપયોગ કરો"
"Page not found","પેજ નથી મળ્યું"
"Full file path is expected.","પૂર્ણ ફાઇલ પાથ અપેક્ષિત છે."
"from","માંથી"
"to","માટે"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","ભૂલને કારણે લક્ષણ સાચવી શકાયું નહીં. તમારી માહિતીને ચકાસો અને ફરીથી પ્રયાસ કરો. જો ભૂલ ચાલુ રહે છે, તો કૃપા કરીને પછીથી ફરી પ્રયાસ કરો."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","ભૂલને કારણે લક્ષણ માન્ય કરી શકાયું નહીં. તમારી માહિતીને ચકાસો અને ફરીથી પ્રયાસ કરો. જો ભૂલ ચાલુ રહે છે, તો કૃપા કરીને પછીથી ફરી પ્રયાસ કરો."
"Tier prices data should be array, but actually other type is received","સ્તરનાં ભાવોનો ડેટા એરે હોવો જોઈએ, પરંતુ ખરેખર અન્ય પ્રકારનો પ્રાપ્ત થાય છે"
"Price indexer ""%1"" must implement %2 or %3","પ્રાઇસ ઇન્ડેક્સર ""%1"" એ %2 અથવા %3 ને લાગુ કરવું આવશ્યક છે"
"You added product %1 to the <a href=""%2"">comparison list</a>.","તમે %1 ને <a href=""%2""> સરખામણી સૂચિ </a> પર ઉમેર્યા છે."
"Maximum %1 characters","મહત્તમ %1 અક્ષરો"
"remaining","બાકી"
"too many","ઘણી બધી"
"Sending attribute values as package.","પેકેજ તરીકે લક્ષણ કિંમતો મોકલી રહ્યું છે."
"This value does not follow the specified format (for example, 200X300).","આ મૂલ્ય નિર્દિષ્ટ બંધારણનું અનુસરણ કરતું નથી (ઉદાહરણ તરીકે, 200X300)."
"Applies to category pages","શ્રેણી પૃષ્ઠો પર લાગુ પડે છે"
"Remember Category Pagination","કેટેગરી પૃષ્ઠ ક્રમાંકન યાદ રાખો"
"Changing may affect SEO and cache storage consumption.","બદલાવ SEO અને કેશ સ્ટોરેજ વપરાશને અસર કરી શકે છે."
"Images Upload Configuration","છબીઓ અપલોડ રૂપરેખાંકન"
"Quality","ગુણવત્તા"
"Jpeg quality for resized images 1-100%.","1-100%રીઝાઇઝ કરેલી છબીઓ માટે જેપીગ ગુણવત્તા."
"Cost","કિંમત"
"The ""%1"" attribute is required. Enter and try again.","""%1"" લક્ષણ આવશ્યક છે. દાખલ કરો અને ફરીથી પ્રયાસ કરો."
"Attributes were missing and must be specified.","લક્ષણો ખૂટે છે અને તે સ્પષ્ટ થવું આવશ્યક છે."
"The value of Admin must be unique. (%1)","એડમિનનું મૂલ્ય અનન્ય હોવું આવશ્યક છે. (%1)"
"The product was unable to be saved. Please try again.","ઉત્પાદન સાચવવામાં અસમર્થ હતું. મેહરબાની કરી ને ફરી થી પ્રયાસ કરો."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","""%1"" લક્ષણનું મૂલ્ય અનન્ય નથી. એક અનન્ય મૂલ્ય સેટ કરો અને ફરીથી પ્રયાસ કરો."
"The category doesn't contain the specified product.","વર્ગમાં નિર્દિષ્ટ ઉત્પાદન શામેલ નથી."
"The %1 value wasn't found in the algorithms.","અલ્ગોરિધમ્સમાં%1 મૂલ્ય મળ્યું નથી."
"The filters are invalid. Set them in an array and try again.","ગાળકો અમાન્ય છે. તેમને એરેમાં સેટ કરો અને ફરીથી પ્રયાસ કરો."
"The product wasn't registered.","ઉત્પાદન નોંધાયેલું નથી."
"The store wasn't registered. Verify the store and try again.","સ્ટોર નોંધાયેલ નથી. સ્ટોરને ચકાસો અને ફરીથી પ્રયાસ કરો."
"The ""%1"" attribute value is empty. Set the attribute and try again.","""%1"" લક્ષણ મૂલ્ય ખાલી છે. લક્ષણ સેટ કરો અને ફરીથી પ્રયાસ કરો."
"The attribute set couldn't be created because it's based on a non-product attribute set.","એટ્રિબ્યુટ સમૂહ બનાવી શકાયું નથી કારણ કે તે બિન-ઉત્પાદન લક્ષણ સમૂહ પર આધારિત છે."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","એટ્રિબ્યુટ સેટ બનાવી શકાયો નથી કારણ કે તે અસ્તિત્વમાં નથી એટ્રિબ્યુટ સમૂહ પર આધારિત છે."
"The image content is invalid. Verify the content and try again.","છબીની સામગ્રી અમાન્ય છે. સામગ્રીની ચકાસણી કરો અને ફરીથી પ્રયાસ કરો."
"The product can't be saved.","ઉત્પાદન સાચવી શકાતું નથી."
"The new media gallery entry failed to save.","નવી મીડિયા ગેલેરી પ્રવેશ સાચવવામાં નિષ્ફળ."
"No image with the provided ID was found. Verify the ID and try again.","પ્રદાન કરેલ ID સાથેની કોઈ છબી મળી નથી. ID ને ચકાસી લો અને ફરી પ્રયત્ન કરો."
"The product doesn't exist. Verify and try again.","ઉત્પાદન અસ્તિત્વમાં નથી. ચકાસો અને ફરીથી પ્રયાસ કરો."
"The image doesn't exist. Verify and try again.","છબી અસ્તિત્વમાં નથી. ચકાસો અને ફરીથી પ્રયાસ કરો."
"The image doesn't exist.","છબી અસ્તિત્વમાં નથી."
"The image type for the file is invalid. Enter the correct image type and try again.","ફાઇલ માટેનો છબી પ્રકાર અમાન્ય છે. સાચું છબી પ્રકાર દાખલ કરો અને ફરીથી પ્રયાસ કરો."
"The ""%1"" file couldn't be moved.","""%1"" ફાઇલ ખસેડી શકાઈ નથી."
"The ProductSku is empty. Set the ProductSku and try again.","પ્રોડક્ટસકુ ખાલી છે. પ્રોડક્ટસકુ સેટ કરો અને ફરીથી પ્રયાસ કરો."
"The custom option couldn't be removed.","કસ્ટમ વિકલ્પ દૂર કરી શકાતો નથી."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","ઉત્પાદનનો આવશ્યક વિકલ્પ (ઓ) દાખલ કરાયો નથી. ખાતરી કરો કે વિકલ્પો દાખલ થયા છે અને ફરીથી પ્રયાસ કરો."
"The file options format is invalid. Use a correct format and try again.","ફાઇલ વિકલ્પોનું ફોર્મેટ અમાન્ય છે. સાચા બંધારણનો ઉપયોગ કરો અને ફરીથી પ્રયાસ કરો."
"The file ""%1"" is empty. Select another file and try again.","ફાઇલ ""%1"" ખાલી છે. બીજી ફાઇલ પસંદ કરો અને ફરીથી પ્રયાસ કરો."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","માન્યતા નિષ્ફળ. ખાતરી કરો કે જરૂરી વિકલ્પો દાખલ થયા છે અને ફાઇલ અપલોડ થઈ છે, પછી ફરીથી પ્રયાસ કરો."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","ફાઇલ ખૂબ મોટી હતી અને અપલોડ કરી શકાતી નથી. %1 MB કરતા નાની ફાઇલનો ઉપયોગ કરો અને ફરીથી અપલોડ કરવાનો પ્રયાસ કરો."
"The required option wasn't entered. Enter the option and try again.","આવશ્યક વિકલ્પ દાખલ કરાયો ન હતો. વિકલ્પ દાખલ કરો અને ફરીથી પ્રયાસ કરો."
"The file is empty. Select another file and try again.","ફાઇલ ખાલી છે. બીજી ફાઇલ પસંદ કરો અને ફરીથી પ્રયાસ કરો."
"The text is too long. Shorten the text and try again.","ટેક્સ્ટ ખૂબ લાંબો છે. ટેક્સ્ટને ટૂંકી કરો અને ફરીથી પ્રયાસ કરો."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","વિનંતી કરેલું ઉત્પાદન અસ્તિત્વમાં નથી. ઉત્પાદનની ચકાસણી કરો અને ફરીથી પ્રયાસ કરો. પંક્તિ ID: એસક્યુ =%એસક્યુ, સ્ટોર આઈડી:%સ્ટોરઆઇડ, કિંમત આનાથી:%ભાવ, ભાવથી:%ભાવ."
"Tier price is unavailable for this product.","આ ઉત્પાદન માટે ટાયર ભાવ અનુપલબ્ધ છે."
"The tier_price data is invalid. Verify the data and try again.","ટાયર_પ્રાઇસ ડેટા અમાન્ય છે. ડેટાની ચકાસણી કરો અને ફરીથી પ્રયાસ કરો."
"The group price couldn't be saved.","જૂથની કિંમત બચાવી શકાઈ નથી."
"The data was invalid. Verify the data and try again.","ડેટા અમાન્ય હતો. ડેટાની ચકાસણી કરો અને ફરીથી પ્રયાસ કરો."
"Values in the %1 attributes are invalid. Verify the values and try again.","%1 ગુણધર્મોના મૂલ્યો અમાન્ય છે. મૂલ્યો ચકાસો અને ફરીથી પ્રયાસ કરો."
"We can't create the ""%1"" writeable directory.","અમે ""%1"" લખી શકાય તેવી ડિરેક્ટરી બનાવી શકતા નથી."
"The file upload failed. Try to upload again.","ફાઇલ અપલોડ નિષ્ફળ થયું. ફરીથી અપલોડ કરવાનો પ્રયાસ કરો."
"The product has required options. Enter the options and try again.","ઉત્પાદનમાં વિકલ્પોની આવશ્યકતા છે. વિકલ્પો દાખલ કરો અને ફરીથી પ્રયાસ કરો."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","""%1"" ID સાથેનું જૂથ અસ્તિત્વમાં નથી. ID ને ચકાસી લો અને ફરી પ્રયત્ન કરો."
"The attribute group can't be deleted because it contains system attributes.","લક્ષણ જૂથ કા beી શકાતું નથી કારણ કે તેમાં સિસ્ટમ લક્ષણો છે."
"The collection provider isn't registered.","સંગ્રહ પ્રદાતા નોંધાયેલ નથી."
"The ""%1"" link type is unknown. Verify the type and try again.","""%1"" લિંક પ્રકાર અજાણ્યો છે. પ્રકાર ચકાસો અને ફરીથી પ્રયાસ કરો."
"The ""%1"" link type wasn't found. Verify the type and try again.","""%1"" લિંક પ્રકાર મળ્યો નથી. પ્રકાર ચકાસો અને ફરીથી પ્રયાસ કરો."
"The linked products data is invalid. Verify the data and try again.","કડી થયેલ ઉત્પાદનો ડેટા અમાન્ય છે. ડેટાની ચકાસણી કરો અને ફરીથી પ્રયાસ કરો."
"The product that was requested doesn't exist. Verify the product and try again.","વિનંતી કરેલું ઉત્પાદન અસ્તિત્વમાં નથી. ઉત્પાદનની ચકાસણી કરો અને ફરીથી પ્રયાસ કરો."
"The Product with the ""%1"" SKU doesn't exist.","""%1"" એસક્યુ સાથેનું ઉત્પાદન અસ્તિત્વમાં નથી."
"The ""%1"" product couldn't be removed.","""%1"" ઉત્પાદન દૂર કરી શકાતું નથી."
"Category with ID: %s doesn't exist","ID સાથેની કેટેગરી:%s અસ્તિત્વમાં નથી"
"Product Name or SKU","ઉત્પાદન નામ અથવા એસકયુ"
"Start typing to find products","ઉત્પાદનો શોધવા માટે ટાઇપ કરવાનું પ્રારંભ કરો"
"Product with ID: %s doesn't exist","ID સાથેનું ઉત્પાદન:%s અસ્તિત્વમાં નથી"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","પ્રોસેસર %1 એ WysiwygConfigDataProcessorInterface ને અમલ કરતું નથી. તે છોડવામાં આવશે"
"An item needs to be selected. Select and try again.","કોઈ વસ્તુ પસંદ કરવાની જરૂર છે. પસંદ કરો અને ફરીથી પ્રયાસ કરો."
"Use Static URLs for Media Content in WYSIWYG","WYSIWYG માં મીડિયા સામગ્રી માટે સ્થિર URL નો ઉપયોગ કરો"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","સ્થિર URL તરીકે સંપાદકમાં મીડિયા સામગ્રી શામેલ કરવામાં આવશે. જો સિસ્ટમ કન્ફિગરેશન બેઝ URL બદલાય છે તો મીડિયા સામગ્રી અપડેટ કરવામાં આવતી નથી."
"Default Layouts","ડિફaultલ્ટ લેઆઉટ"
"Default Product Layout","ડિફaultલ્ટ ઉત્પાદન લેઆઉટ"
"Default Category Layout","ડિફaultલ્ટ કેટેગરી લેઆઉટ"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    વિજેટ અપડેટ્સ વચ્ચેનો સમય સેકંડમાં છે.
                    <br/> જો સેટ કરેલું નથી, તો 86400 સેકંડ (24 કલાક) ની બરાબર છે. વિજેટને તુરંત અપડેટ કરવા માટે, કેશ મેનેજમેન્ટ પર જાઓ અને બ્લોક્સ એચટીએમએલ આઉટપુટ કેશ સાફ કરો.
                    <br/> કેશ તાજું ન થાય ત્યાં સુધી વિજેટ એવા ઉત્પાદનો બતાવશે નહીં કે જે સ્પષ્ટ શરતો સાથે મેળ ખાવાનું શરૂ કરે.
                                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","ટેક્સ્ટ સંપાદક ઇનપુટ પ્રકારને સ્ટોર્સ> ગોઠવણી> સામગ્રી મેનેજમેન્ટમાં WYSIWYG સક્ષમ કરવું આવશ્યક છે."
