"Root","ಮೂಲ"
"Product Listing Sort by","ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ ವಿಂಗಡಣಾ ಕ್ರಮ"
"Allow All Products per Page","Allow All Products per Page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","ಉತ್ಪನ್ನದ ಚಿತ್ರದ ಸ್ಠಳತುಂಬಿಕೆಗಳು"
"Search Engine Optimization","Search Engine Optimization"
"Page Title Separator","ಪುಟದ ಶೀರ್ಷಿಕೆ ವಿಭಜಕ"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Catalog Price Scope","Catalog Price Scope"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Category Top Navigation"
"Maximal Depth","ಗರಿಷ್ಟ ಆಳ"
"Date & Time Custom Options","ದಿನಾಂಕ & ಸಮಯ ದ ಒಗ್ಗಿಸುವಿಕೆಯ ಆಯ್ಕೆಗಳು"
"Use JavaScript Calendar","JavaScript ಕ್ಯಾಲೆಂಡರನ್ನು ಬಳಸಿ"
"Date Fields Order","Date Fields Order"
"Time Format","ಸಮಯದ ಮಾದರಿ"
"Year Range","ವರ್ಷದ ವ್ಯಾಪ್ತಿ"
"Please use a four-digit year format.","ದಯವಿಟ್ಟು ನಾಲ್ಕು-ಅಂಕೆಗಳ ವರ್ಷದ ಮಾದರಿಯನ್ನು ಬಳಸಿ."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","ಮೇಲಂತಸ್ತಿನ ವಿಭಾಗ"
"Product Info Column","Product Info Column"
"Block after Info Column","Block after Info Column"
"Product Flat Data","Product Flat Data"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Category Flat Data","Category Flat Data"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Category Products","ವಿಭಾಗದ ಉತ್ಪನ್ನಗಳು"
"Indexed category/products association","Indexed category/products association"
"Product Categories","ಉತ್ಪನ್ನದ ವಿಭಾಗಗಳು"
"Indexed product/categories association","Indexed product/categories association"
"Product Price","ಉತ್ಪನ್ನದ ದರ"
"Index product prices","Index product prices"
"Product EAV","Product EAV"
"Index product EAV","Index product EAV"
"Catalog New Products List","Catalog New Products List"
"List of Products that are set as New","ಹೊಸತೆಂದು ಪರಿಗಣಿಸಲಾದ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ"
"Display Type","ಪ್ರದರ್ಶನದ ವಿಧ"
"All products - recently added products, New products - products marked as new","ಎಲ್ಲಾ ಉತ್ಪನ್ನಗಳು - ಇತ್ತೀಚೆಗೆ ಸೇರಿಸಿದ ಉತ್ಪನ್ನಗಳು, ಹೊಸ ಉತ್ಪನ್ನಗಳು - ಹೊಸತೆಂದು ಪರಿಗಣಿಸಲಾದ ಉತ್ಪನ್ನಗಳು"
"All products","ಎಲ್ಲಾ ಉತ್ಪನ್ನಗಳು"
"New products","ಹೊಸ ಉತ್ಪನ್ನಗಳು"
"Display Page Control","Display Page Control"
"Number of Products per Page","ಪ್ರತಿ ಪುಟಕ್ಕೆ ಉತ್ಪನ್ನಗಳ ಸಂಖ್ಯೆ"
"Number of Products to Display","ಪ್ರದರ್ಶಿಸಲು ಉತ್ಪನ್ನಗಳ ಸಂಖ್ಯೆ"
"Template","ಮಾದರಿ"
"New Products Grid Template","ಹೊಸ ಉತ್ಪನ್ನಗಳ ಗ್ರಿಡ್ ಮಾದರಿ"
"New Products List Template","ಹೊಸ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ ಮಾದರಿ"
"New Products Images and Names Template","ಹೊಸ ಉತ್ಪನ್ನಗಳ ಚಿತ್ರ ಮತ್ತು ಹೆಸರಿನ ಮಾದರಿ"
"New Products Names Only Template","ಹೊಸ ಉತ್ಪನ್ನಗಳ ಹೆಸರಿನ ಮಾದರಿ ಮಾತ್ರ"
"New Products Images Only Template","ಹೊಸ ಉತ್ಪನ್ನಗಳ ಚಿತ್ರ ಮಾದರಿ ಮಾತ್ರ"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Catalog Product Link"
"Link to a Specified Product","ಸೂಚಿಸಿದ ಉತ್ಪನ್ನಕ್ಕೆ ಕೊಂಡಿ"
"Select Product...","ಉತ್ಪನ್ನವನ್ನು ಆರಿಸಿ..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, we'll use the product name here.","ಖಾಲಿಯಿದ್ದಲ್ಲಿ, ನಾವು ಉತ್ಪನ್ನದ ಹೆಸರನ್ನು ಇಲ್ಲಿ ಬಳಸುತ್ತೇವೆ."
"Anchor Custom Title","Anchor Custom Title"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Catalog Category Link","Catalog Category Link"
"Link to a Specified Category","Link to a Specified Category"
"Select Category...","ವಿಭಾಗವನ್ನು ಆರಿಸಿ..."
"If empty, we'll use the category name here.","ಖಾಲಿಯಿದ್ದಲ್ಲಿ, ನಾವು ವಿಭಾಗದ ಹೆಸರನ್ನು ಇಲ್ಲಿ ಬಳಸುತ್ತೇವೆ."
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Recently Viewed Products","ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"List of Products Recently Viewed by Visitor","ಸಂದರ್ಶಕರಿಂದ ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಲಾದ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ"
"UI Component","UI ಘಟಕ"
"Number of Products to display","ಪ್ರದರ್ಶಿಸಲು ಉತ್ಪನ್ನಗಳ ಸಂಖ್ಯೆ"
"Product attributes to show","Product attributes to show"
"Image","ಚಿತ್ರ"
"Learn More Link","ಹೆಚ್ಚು ತಿಳಿಯಿರಿ ಕೊಂಡಿ"
"Buttons to show","ಪ್ರದರ್ಶಿಸಲು ಗುಂಡಿಗಳು"
"Add to Wishlist","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Viewed Products Grid Template","ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳ ಗ್ರಿಡ್ ಮಾದರಿ"
"Viewed Products List Template","ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ ಮಾದರಿ"
"Viewed Products Sidebar Template","ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳ ಬದಿಪಟ್ಟಿಕೆ ಮಾದರಿ"
"Recently Compared Products","ಇತ್ತೀಚೆಗೆ ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"List of Products Recently Compared by Visitor","ಸಂದರ್ಶಕರಿಂದ ಇತ್ತೀಚೆಗೆ ಹೋಲಿಸಲಾದ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ"
"Compared Products Grid Template","ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳ ಗ್ರಿಡ್ ಮಾದರಿ"
"Compared Products List Template","ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ ಮಾದರಿ"
"Set","Set"
"Category Information","ವಿಭಾಗದ ಮಾಹಿತಿ"
"Enable Category","ವಿಭಾಗ ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Include in Menu","Include in Menu"
"Content","ವಿಷಯ"
"Category Image","ವಿಭಾಗದ ಚಿತ್ರ"
"Description","ವಿವರಣೆ"
"Add CMS Block","CMS ಬ್ಲಾಕನ್ನು ಸೇರಿಸಿ"
"Display Settings","ಪ್ರದರ್ಶನ ಸಂಯೋಜನೆಗಳು"
"Display Mode","ಪ್ರದರ್ಶನದ ವಿಧ"
"Anchor","ಆಂಕರ್"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","ಎಲ್ಲವನ್ನೂ ಬಳಸಿ"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Layered Navigation Price Step"
"URL Key","URL ಕೀ"
"Meta Title","ಮೆಟಾ ಶೀರ್ಷಿಕೆ"
"Meta Keywords","ಮೆಟಾ ಕೀಪದಗಳು"
"Meta Description","ಮೆಟಾ ವಿವರಣೆ"
"Products in Category","ವಿಭಾಗದಲ್ಲಿ ಉತ್ಪನ್ನಗಳು"
"Design","ವಿನ್ಯಾಸ"
"Theme","ಥೀಮ್‌"
"Layout","ವಿನ್ಯಾಸ"
"Layout Update XML","Layout Update XML"
"Apply Design to Products","ಉತ್ಪನ್ನಗಳಿಗೆ ವಿನ್ಯಾಸವನ್ನು ಅನ್ವಯಿಸಿ"
"Schedule Design Update","ವಿನ್ಯಾಸ ಪರಿಷ್ಕರಣೆಯನ್ನು ನಿಗದಿಗೊಳಿಸಿ"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","ಉತ್ಪನ್ನದ ಚಿತ್ರದ ನೀರ್ಕಲೆಗಳು"
"Base","ಮೂಲ"
"Allowed file types: jpeg, gif, png.","ಅನುಮತಿಸಿದ ಕಡತದ ವಿಧಗಳು: jpeg, gif, png."
"Image Opacity","ಚಿತ್ರದ ಪಾರದರ್ಶಕತೆ"
"Example format: 200x300.","ಮಾದರಿ ಉದಾಹರಣೆ: 200x300."
"Image Position","ಚಿತ್ರದ ಸ್ಥಾನ"
"Attribute Properties","Attribute Properties"
"Attribute Label","Attribute Label"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Values","ನಮೂದುಗಳು"
"Add this attribute to the list of column options in the product grid.","Add this attribute to the list of column options in the product grid."
"Add this attribute to the list of filter options in the product grid.","Add this attribute to the list of filter options in the product grid."
"System","ವ್ಯವಸ್ಥೆ"
"All Store Views","ಎಲ್ಲಾ ಮಳಿಗೆಗಳ ನೋಟಗಳು"
"Delete selected items?","ಆರಿಸಿದ ವಸ್ತುಗಳನ್ನು ಅಳಿಸುವುದೇ?"
"Delete items","ವಸ್ತುಗಳನ್ನು ಅಳಿಸಿ"
"Change status","ಸ್ಥಿತಿ ಬದಲಿಸಿ"
"Enable","ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Disable","ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ"
"Update attributes","ಗುಣವಿಶೇಷಗಳನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Overview","ಪಕ್ಷಿನೋಟ"
"Skip to the end of the images gallery","ಚಿತ್ರಾಂಗಣದ ಕೊನೆಗೆ ತೆರಳಿ"
"Skip to the beginning of the images gallery","ಚಿತ್ರಾಂಗಣದ ಮೊದಲಿಗೆ ತೆರಳಿ"
"Details","ವಿವರಗಳು"
"Recently Compared","ಇತ್ತೀಚೆಗೆ ಹೋಲಿಕೆಯಾದವುಗಳು"
"Add To Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add To Compare","ಹೋಲಿಸಲು ಸೇರಿಸಿ"
"Learn more","ಇನ್ನಷ್ಟು ತಿಳಿಯಿರಿ"
"Recently Viewed","ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಿದ"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","ನೀವು ಈ ವಿಭಾಗವನ್ನು ಖಚಿತವಾಗಿಯೂ ಅಳಿಸಲು ಬಯಸುವಿರಾ?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","ಕಡತದ ಪೂರ್ಣ ಪಥವನ್ನು ಅಪೇಕ್ಷಿಸುತ್ತಿದೆ."
"from","ಇಂದ"
"to","ಗೆ"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","ನೀವು %1 ಉತ್ಪನ್ನವನ್ನು <a href=""%2"">ಹೋಲಿಕೆ ಪಟ್ಟಿ</a>ಗೆ ಸೇರಿಸಿದ್ದೀರಿ."
"Maximum %1 characters","ಗರಿಷ್ಟ %1 ಅಕ್ಷರಗಳು"
"remaining","ಉಳಿದಿರುವ"
"too many","ತುಂಬಾ ಹೆಚ್ಚಿನ"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","ಈ ನಮೂದು ಸೂಚಿಸಿದ ಮಾದರಿಯನ್ನು ಅನುಸರಿಸುತ್ತಿಲ್ಲ (for example, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","ವಿಭಾಗದ ಪುಟೀಕರಣವನ್ನು ನೆನಪಿಟ್ಟುಕೊಳ್ಳಿ"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","ಗುಣಮಟ್ಟ"
"Jpeg quality for resized images 1-100%.","ಮರುಗಾತ್ರಿಸಿದ ಚಿತ್ರಗಳ Jpeg ಗುಣಮಟ್ಟ 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","ವಿಭಾಗವು ಸೂಚಿಸಿದ ಉತ್ಪನ್ನಗಳನ್ನು ಹೊಂದಿಲ್ಲ."
"The %1 value wasn't found in the algorithms.","ಆಲ್ಗರಿಥಮ್ ಗಳಲ್ಲಿ %1 ನಮೂದು ಕಂಡುಬಂದಿಲ್ಲ."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","ಉತ್ಪನ್ನವು ನೋಂದಣಿಯಾಗಿಲ್ಲ."
"The store wasn't registered. Verify the store and try again.","ಮಳಿಗೆ ನೋಂದಣಿಯಾಗಿಲ್ಲ. ಮಳಿಗೆಯನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","ಚಿತ್ರದ ವಿಷಯವು ಅಸಿಂಧುವಾಗಿದೆ. ವಿಷಯವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The product can't be saved.","ಉತ್ಪನ್ನವನ್ನು ಉಳಿಸಲಾಗುವುದಿಲ್ಲ."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","ಸೂಚಿಸಿರುವ ಐಡಿಯೊಂದಿಗಿನ ಚಿತ್ರವು ಕಂಡುಬಂದಿಲ್ಲ. ಐಡಿಯನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The product doesn't exist. Verify and try again.","ಉತ್ಪನ್ನವು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ. ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The image doesn't exist. Verify and try again.","ಚಿತ್ರವು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ. ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The image doesn't exist.","ಚಿತ್ರವು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"The image type for the file is invalid. Enter the correct image type and try again.","ಕಡತಕ್ಕೆ ಚಿತ್ರದ ವಿಧವು ಅಸಿಂಧುವಾಗಿದೆ. ಸರಿಯಾದ ಚಿತ್ರದ ವಿಧವನ್ನು ನಮೂದಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The ""%1"" file couldn't be moved.","""%1"" ಕಡತವನ್ನು ಸರಿಸಲಾಗಲಿಲ್ಲ."
"The ProductSku is empty. Set the ProductSku and try again.","ProductSku ಖಾಲಿಯಿದೆ. ProductSku ನಮೂದಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","""%1"" ಕಡತವು ಖಾಲಿಯಿದೆ. ಇನ್ನೊಂದು ಕಡತವನ್ನು ಆರಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","ಅಗತ್ಯವಿರುವ ಆಯ್ಕೆ ನಮೂದಾಗಿಲ್ಲ. ನಮೂದಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The file is empty. Select another file and try again.",""""" ಕಡತವು ಖಾಲಿಯಿದೆ. ಇನ್ನೊಂದು ಕಡತವನ್ನು ಆರಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The text is too long. Shorten the text and try again.","ಪಠ್ಯವು ತುಂಬಾ ಉದ್ದವಿದೆ. ಕಡಿತಗೊಳಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","ಈ ಉತ್ಪನ್ನಕ್ಕೆ ಬೆಲೆಯು ಲಭ್ಯವಿಲ್ಲ."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","ಗುಂಪಿನ ದರವನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","""%1"" ID ಯೊಂದಿಗಿನ ಗುಂಪು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ. ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","""%1"" ಕೊಂಡಿ ವಿಧ ಕಂಡುಬಂದಿಲ್ಲ. ವಿಧವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","ವಿನಂತಿಸಿದ ಉತ್ಪನ್ನವು ಕಂಡುಬಂದಿಲ್ಲ. ಉತ್ಪನ್ನವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The Product with the ""%1"" SKU doesn't exist.","""%1"" SKU ಜೊತೆಗಿನ ಉತ್ಪನ್ನವು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"The ""%1"" product couldn't be removed.","""%1"" ಉತ್ಪನ್ನವನ್ನು ತೆಗೆದುಹಾಕಲಾಗಲಿಲ್ಲ."
"Category with ID: %s doesn't exist","ID: %s ಜೊತೆಗಿನ ವಿಭಾಗವು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ"
"Product Name or SKU","ಉತ್ಪನ್ನದ ಹೆಸರು ಅಥವಾ SKU"
"Start typing to find products","ಉತ್ಪನ್ನಗಳನ್ನು ಹುಡುಕಲು ಟೈಪಿಸಲು ಪ್ರಾರಂಭಿಸಿ"
"Product with ID: %s doesn't exist","ID: %s ಜೊತೆಗಿನ ಉತ್ಪನ್ನವು ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","ಒಂದು ವಸ್ತುವನ್ನು ಆರಿಸಬೇಕಾಗಿದೆ. ಆರಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","ನಿಯೋಜಿತ ವಿನ್ಯಾಸಗಳು"
"Default Product Layout","ನಿಯೋಜಿತ ಉತ್ಪನ್ನದ ವಿನ್ಯಾಸ"
"Default Category Layout","ನಿಯೋಜಿತ ವಿಭಾಗದ ವಿನ್ಯಾಸ"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","ಸುಧಾರಿತ"
