"Root","Racine"
"The product that was requested doesn't exist. Verify the product and try again.","Le produit qui a été demandé n’existe pas. Vérifiez le produit et essayez à nouveau."
"The Product with the ""%1"" SKU doesn't exist.","Le produit avec la REF ""%1"" n'existe pas."
"The ""%1"" product couldn't be removed.","Le produit ""%1"" n'a pas pu être supprimé."
"Category with ID: %s doesn't exist","Catégorie avec ID : %s n'existe pas"
"Product Name or SKU","Nom du produit ou REF"
"Start typing to find products","Commencez à taper pour trouver des produits"
"Product with ID: %s doesn't exist","Produit avec ID : %s n'existe pas"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Le processeur %1 n'implémente pas WysiwygConfigDataProcessorInterface. Il sera ignoré"
"An item needs to be selected. Select and try again.","Un élément doit être sélectionné. Sélectionnez, puis réessayez."
"Use Static URLs for Media Content in WYSIWYG","Utiliser les URL statiques pour le contenu multimédia dans WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Le contenu du média sera inséré dans l'éditeur comme URL statique. Le contenu du média n'est pas mis à jour si l'URL de base de configuration du système change."
"Default Layouts","Mise en page par défaut"
"Default Product Layout","Mise en page par défaut du produit"
"Default Category Layout","Mise en page par défaut de catégorie"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Temps entre les mises à jour du widget.
                    <br/>Si non défini, égal à 86400 secondes (24 heures). Pour mettre à jour instantanément le widget, allez dans la gestion du cache et videz le cache des blocs HTML.
                    <br/>Le widget ne montrera pas les produits qui commencent à correspondre aux conditions spécifiées jusqu'à ce que le cache soit actualisé.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Le type d'entrée de l'éditeur de texte nécessite que WYSIWYG soit activé dans les magasins > Configuration > Gestion de contenu."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Le code d'attribut ""%1"" est invalide. Veuillez utiliser uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des tirets bas(_) dans ce champ, le premier caractère doit être une lettre."
"Advanced","Avancé"
