"Root","Radice"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","Un elemento deve essere selezionato. Seleziona e riprova."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Layout prodotto predefinito"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
Tempo in secondi tra gli aggiornamenti del widget.
<br/>Se non impostato, è uguale a 86.400 secondi (24 ore). Per aggiornare immediatamente il widget, andare in Gestione della Cache e selezionare Svuota cache di Output HTML.
<br/>Il widget non mostrerà i prodotti che iniziano a soddisfare le condizioni specificate fino a quando la cache non sarà aggiornata.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Il codice attributo ""%1"" non è valido. Si prega di utilizzare per questo campo, solo lettere (a-z o A-Z), numeri (0-9) o underscore (_). Il primo carattere deve essere una lettera."
"Advanced","Avanzate"
