"Root","Wurzel"
"The product can't be saved.","Der Artikel kann nicht gespeichert werden."
"The new media gallery entry failed to save.","Der neue Mediengalerie-Eintrag konnte nicht gespeichert werden."
"No image with the provided ID was found. Verify the ID and try again.","Kein Bild mit der angegebenen ID gefunden. Überprüfen Sie die ID und versuchen Sie es erneut."
"The product doesn't exist. Verify and try again.","Das Produkt ist nicht vorhanden. Überprüfen Sie es und versuchen Sie es erneut."
"The image doesn't exist. Verify and try again.","Das Bild ist nicht vorhanden. Überprüfen Sie es und versuchen Sie es erneut."
"The image doesn't exist.","Das Bild ist nicht vorhanden."
"The image type for the file is invalid. Enter the correct image type and try again.","Der Bildtyp für die Datei ist ungültig. Geben Sie den korrekten Bildtyp ein und versuchen Sie es erneut."
"The ""%1"" file couldn't be moved.","Die Datei ""%1"" konnte nicht verschoben werden."
"The ProductSku is empty. Set the ProductSku and try again.","Die Artikelnummer ist leer. Geben Sie eine Artikelnummer an und versuchen Sie es erneut."
"The custom option couldn't be removed.","Die benutzerdefinierte Option konnte nicht entfernt werden."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","Die benötigte(n) Option(en) des Produkts wurde nicht eingegeben. Stellen Sie sicher, dass die Optionen eingegeben sind und versuchen Sie es erneut."
"The file options format is invalid. Use a correct format and try again.","Das Dateioptionsformat ist ungültig. Benutzen Sie ein korrektes Format und versuchen Sie es erneut."
"The file ""%1"" is empty. Select another file and try again.","Die Datei ""%1"" ist leer. Wählen Sie eine andere Datei und versuchen Sie es erneut."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","Die Validierung ist fehlgeschlagen. Stellen Sie sicher, dass die benötigten Optionen eingegeben werden und die Datei hochgeladen wird, versuchen Sie es erneut."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","Die Datei war zu groß und konnte nicht hochgeladen werden. Verwenden Sie eine Datei kleiner als %1 MBs und versuchen Sie es erneut."
"The required option wasn't entered. Enter the option and try again.","Die erforderliche Option wurde nicht eingegeben. Geben Sie die Option an und versuchen Sie es erneut."
"The file is empty. Select another file and try again.","Die Datei ist leer. Wählen Sie eine andere Datei und versuchen Sie es erneut."
"The text is too long. Shorten the text and try again.","Der Text ist zu lang. Kürzen Sie den Text und versuchen Sie es erneut."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Das angeforderte Produkt existiert nicht. Überprüfen Sie das Produkt und versuchen Sie es erneut. Zeile ID: SKU = %SKU, Shop ID: %storeId, Preis von: %priceFrom, Preis zu: %priceTo."
"Tier price is unavailable for this product.","Staffelpreise sind für dieses Produkt nicht verfügbar."
"The tier_price data is invalid. Verify the data and try again.","Die verknüpften Produktdaten sind ungültig. Überprüfen Sie die Daten und versuchen Sie es erneut."
"The group price couldn't be saved.","Der Gruppenpreis konnte nicht gespeichert werden."
"The data was invalid. Verify the data and try again.","Die Daten waren ungültig. Überprüfen Sie die Daten und versuchen Sie es erneut."
"Values in the %1 attributes are invalid. Verify the values and try again.","Werte in den Attributen %1 sind ungültig. Überprüfen Sie die Werte und versuchen Sie es erneut."
"We can't create the ""%1"" writeable directory.","Das beschreibbare Verzeichnis ""%1"" kann nicht erstellt werden."
"The file upload failed. Try to upload again.","Der Upload der Datei ist fehlgeschlagen. Versuchen Sie sie erneut hochzuladen."
"The product has required options. Enter the options and try again.","Das Produkt hat die erforderlichen Optionen. Geben Sie die Optionen ein und versuchen Sie es erneut."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","Die Gruppe mit der ID ""%1"" existiert nicht. Überprüfen Sie die ID und versuchen Sie es erneut."
"The attribute group can't be deleted because it contains system attributes.","Die Attributgruppe kann nicht gelöscht werden, da sie Systemattribute enthält."
"The collection provider isn't registered.","Collection-Provider nicht registriert."
"The ""%1"" link type is unknown. Verify the type and try again.","Der Linktyp ""%1"" ist unbekannt. Überprüfen Sie den Typ und versuchen Sie es erneut."
"The ""%1"" link type wasn't found. Verify the type and try again.","Der Linktyp ""%1"" wurde nicht gefunden. Überprüfen Sie den Typ und versuchen Sie es erneut."
"The linked products data is invalid. Verify the data and try again.","Die verknüpften Produktdaten sind ungültig. Überprüfen Sie die Daten und versuchen Sie es erneut."
"The product that was requested doesn't exist. Verify the product and try again.","Das angeforderte Produkt existiert nicht. Überprüfen Sie das Produkt und versuchen Sie es erneut."
"The Product with the ""%1"" SKU doesn't exist.","Das Produkt mit der Artikelnummer ""%1"" existiert nicht."
"The ""%1"" product couldn't be removed.","Der Artikel ""%1"" konnte nicht entfernt werden."
"Category with ID: %s doesn't exist","Die Kategorie mit der ID: %s existiert nicht"
"Product Name or SKU","Produktname oder Artikelnummer"
"Start typing to find products","Eingabe starten, um Produkte zu finden"
"Product with ID: %s doesn't exist","Produkt mit ID: %s ist nicht vorhanden"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Prozessor %1 implementiert nicht WysiwygConfigDataProcessorInterface. Es wird übersprungen."
"An item needs to be selected. Select and try again.","Ein Element muss ausgewählt werden. Treffen Sie eine Auswahl und versuchen Sie es erneut."
"Use Static URLs for Media Content in WYSIWYG","Verwende Statische URLs für Medieninhalte im WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Medien-Inhalte werden als statische URL in den Editor eingefügt. Diese werden nicht aktualisiert, wenn die Basis-URL in der Systemkonfiguration verändert wird."
"Default Layouts","Standard-Layouts"
"Default Product Layout","Standard-Produkt-Layout"
"Default Category Layout","Standard-Kategorie-Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
Zeit in Sekunden zwischen den Widget-Updates.
<br/>Entspricht 86400 Sekunden (24 Stunden), wenn nicht gesetzt. Um das Widget sofort zu aktualisieren, gehen Sie zum Cache-Management und löschen Sie den HTML-Output-Cache.
<br/>Das Widget zeigt keine Produkte an, die den angegebenen Bedingungen entsprechen, bis der Cache aktualisiert wird.                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text-Editor-Eingabetyp erfordert, dass WYSIWYG in Stores > Konfiguration > Content Management aktiviert wird."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Der Attribut-Code ""%1"" ist ungültig. Bitte verwenden Sie nur Buchstaben (a-z oder A-Z), Ziffern (0-9) oder Unterstriche (_) in diesem Feld, das erste Zeichen sollte ein Buchstabe sein."
"Advanced","Erweitert"
