"Root","Ρίζα"
"Index product EAV","Δείκτης προϊόντος EAV"
"Catalog New Products List","Νέα Λίστα Καταλόγου Προϊόντων"
"List of Products that are set as New","Λίστα των Προϊόντων που ορίζονται ως Νέα"
"Display Type","Τύπος Προβολής"
"All products - recently added products, New products - products marked as new","Όλα τα προϊόντα - προϊόντα που προστέθηκαν πρόσφατα, Νέα προϊόντα - προϊόντα που φέρουν σήμανση ως νέα"
"All products","Όλα τα προϊόντα"
"New products","Νέα προϊόντα"
"Display Page Control","Προβολή Σελίδας Ελέγχου"
"Number of Products per Page","Αριθμός των προϊόντων ανα Σελίδα"
"Number of Products to Display","Αριθμός των προϊόντων για Προβολή"
"Template","Πρότυπο"
"New Products Grid Template","Πρότυπο Πλέγματος Νέων Προϊόντων"
"New Products List Template","Πρότυπο Λίστας Νέων Προϊόντων"
"New Products Images and Names Template","Νέες Εικόνες Προϊόντων και Ονόματα Πρότυπου"
"New Products Names Only Template","Νέα Ονόματα ΠροΪόντων Μόνο Πρότυπο"
"New Products Images Only Template","Νέες Εικόνες ΠροΪόντων Μόνο Πρότυπο"
"Cache Lifetime (Seconds)","Διάρκεια ζωής προσωρινής μνήμης cache (δευτερόλεπτα)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 από προεπιλογή, αν δεν ορίστηκε. Για να ανανεώσετε αμέσως, εκκαθαρίστε την προσωρινή μνήμη cache της ενότητας HTML εξόδου."
"Catalog Product Link","Σύνδεσμος Καταλόγου Προϊόντων"
"Link to a Specified Product","Σύνδεσμος σε ένα Συγκεκριμένο Προϊόν"
"Select Product...","Επιλέξτε Προϊόν..."
"Anchor Custom Text","Προσαρμοσμένος Τίτλος Σημείου Αγκύρωσης"
"If empty, we'll use the product name here.","Αν είναι κενό, θα χρησιμοποιήσουμε το όνομα του προϊόντος εδώ."
"Anchor Custom Title","Προσαρμοσμένος Τίτλος Σημείου Αγκύρωσης"
"Product Link Block Template","Πρότυπο Μπλοκ Συνδέσμου Προϊόντος"
"Product Link Inline Template","Εσωτερικό Πρότυπο Συνδέσμου Προϊόντος"
"Catalog Category Link","Σύνδεσμος Κατηγορίας Καταλόγου"
"Link to a Specified Category","Σύνδεσμος σε μια Συγκεκριμένη Κατηγορία"
"Select Category...","Επιλέξτε Κατηγορία..."
"If empty, we'll use the category name here.","Αν είναι κενό, θα χρησιμοποιήσουμε το όνομα της κατηγορίας εδώ."
"Category Link Block Template","Πρότυπο Μπλοκ Συνδέσμου Κατηγορίας"
"Category Link Inline Template","Πρότυπο Μπλοκ Εσωτερικού Συνδέσμου"
"Recently Viewed Products","Πρόσφατες Εμφανίσεις Προϊόντων"
"List of Products Recently Viewed by Visitor","Κατάλογος των προϊόντων που πρόσφατα προβλήθηκαν από επισκέπτη"
"UI Component","Στοιχείο Περιβάλλοντος Εργασίας Χρήστη"
"Number of Products to display","Αριθμός Προϊόντων για Προβολή"
"Product attributes to show","Χαρακτηριστικά προϊόντος που θα εμφανίζονται"
"Image","Εικόνα"
"Learn More Link","Σύνδεσμος Μάθετε Περισσότερα"
"Buttons to show","Κουμπιά για προβολή"
"Add to Wishlist","Προσθήκη στη Λίστα Επιθυμιών"
"Viewed Products Grid Template","Πρότυπο Πλέγματος Προβληθέντων Προϊόντων"
"Viewed Products List Template","Πρότυπο Λίστας Προβληθέντων Προϊόντων"
"Viewed Products Sidebar Template","Viewed Products Sidebar Template"
"Recently Compared Products","Πρόσφατα Συγκριθέντα Προϊόντα"
"List of Products Recently Compared by Visitor","Κατάλογος των προϊόντων που πρόσφατα συγκρίθηκαν από επισκέπτη"
"Compared Products Grid Template","Πρότυπο Πλέγματος Συγκρινόμενων Προϊόντων"
"Compared Products List Template","Πρότυπο Λίστας Συγκρινόμενων Προϊόντων"
"Set","Ορίστε"
"Category Information","Πληροφορίες Κατηγορίας"
"Enable Category","Ενεργοποίηση Κατηγορίας"
"Include in Menu","Συμπερίληψη στο Μενού"
"Content","Περιεχόμενο"
"Category Image","Εικόνα Κατηγορίας"
"Description","Περιγραφή"
"Add CMS Block","Προσθήκη Μπλοκ CMS"
"Display Settings","Προβολή Ρυθμίσεων"
"Display Mode","Τρόπος Προβολής"
"Anchor","Σημείο Αγκύρωσης"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Χρήση Όλων"
"Default Product Listing Sort By","Προεπιλεγμένη Ταξινόμηση Λίστας Προϊόντων Κατά"
"Layered Navigation Price Step","Βήμα τιμών Πολυεπίπεδης πλοήγησης"
"URL Key","URL κλειδί"
"Meta Title","Μέτα-Τίτλος"
"Meta Keywords","Μέτα-Λέξεις Κλειδιά"
"Meta Description","Μeta-Περιγραφή"
"Products in Category","Προϊόντα στην Kατηγορία"
"Design","Σχεδίαση"
"Theme","Θέμα"
"Layout","Διάταξη"
"Layout Update XML","XML Ενημέρωσης διάταξης"
"Apply Design to Products","Εφαρμογή σχεδίασης στα προϊόντα"
"Schedule Design Update","Πρoγραμματισμένη Ενημέρωση Σχεδιασμού"
"AttributeSetText","Κείμενο Συνόλου Χαρακτηριστικών"
"StatusText","Κείμενο Κατάστασης"
"Product Image Watermarks","Υδατογραφήματα Εικόνων Προϊόντος"
"Base","Βάση"
"Allowed file types: jpeg, gif, png.","Επιτρέπονται τύποι αρχείων: jpeg, gif, png."
"Image Opacity","Αδιαφάνεια Εικόνας"
"Example format: 200x300.","Παράδειγμα μορφής: 200 x 300."
"Image Position","Θέση Εικόνας"
"Attribute Properties","Ιδιότητες Χαρακτηριστικού"
"Attribute Label","Ετικέτα Χαρακτηριστικού"
"Catalog Input Type for Store Owner","Τύπος Εισόδου Καταλόγου για Ιδιοκτήτη Καταστήματος"
"Values","Τιμές"
"Add this attribute to the list of column options in the product grid.","Προσθέσετε αυτό το χαρακτηριστικό στη λίστα επιλογών στήλης στο πλέγμα προϊόντων."
"Add this attribute to the list of filter options in the product grid.","Προσθέσετε αυτό το χαρακτηριστικό στη λίστα των επιλογών φίλτρων στο πλέγμα προϊόντων."
"System","Σύστημα"
"All Store Views","Όλες οι Προβολές Καταστήματος"
"Delete selected items?","Διαγραφή των επιλεγμένων αντικειμένων;"
"Delete items","Διαγραφή αντικειμένων"
"Change status","Αλλαγή κατάστασης"
"Enable","Ενεργοποίηση"
"Disable","Απενεργοποίηση"
"Update attributes","Ενημέρωση Χαρακτηριστικών"
"Overview","Επισκόπηση"
"Skip to the end of the images gallery","Μετάβαση στο τέλος της συλλογής εικόνων"
"Skip to the beginning of the images gallery","Μετάβαση στην αρχή της συλλογής εικόνων"
"Details","Λεπτομέρειες"
"Recently Compared","Πρόσφατα Συγκρίθηκαν"
"Add To Cart","Προσθήκη Στο Καλάθι"
"Add To Compare","Προσθήκη Για Σύγκριση"
"Learn more","Μάθετε περισσότερα"
"Recently Viewed","Είδατε Πρόσφατα"
"Save Category","Αποθήκευση κατηγορίας"
"Delete Category","Διαγραφή κατηγορίας"
"New Subcategory","Νέα Υποκατηγορία"
"New Root Category","Νέα Κύρια Κατηγορία"
"Set Root Category for Store","Ορίστε τη Ρίζα Κατηγορίας για το κατάστημα"
"Custom Design","Προσαρμοσμένη Σχεδίαση"
"Category Data","Δεδομένα Κατηγορίας"
"Not shared with other products","Δεν μοιράζεται με άλλα προϊόντα"
"Declare attribute value saving scope","Δηλώστε την τιμή χαρακτηριστικού πεδίου εξοικονόμησης"
"Depends on design theme","Εξαρτάται από το σχεδιαστικό θέμα"
"We saved the price alert subscription.","Αποθηκεύτηκεη τιμή της συνδρομής ειδοποίησης."
"We saved the stock notification.","Η ειδοποίηση αποθεμάτων αποθηκεύτηκε."
"Images and Videos","Εικόνες και Βίντεο"
"Click here or drag and drop to add images.","Κάντε κλικ εδώ ή σύρτε και αφήστε για να προσθέσετε εικόνες."
"Make Base","Κάντε Βασική"
"There was a category move error. %1","Υπήρξε ένα λάθος στην μετακίνηση κατηγορίας. %1"
"You moved the category","Μετακινήσατε την κατηγορία"
"This product no longer exists.","Αυτό το προϊόν δεν υπάρχει πλέον."
"We can't find the image file.","Δεν μπορούμε να βρούμε το αρχείο εικόνας."
"productFactory is already set","productFactory έχει ήδη ρυθμιστεί"
"Could not save product option","Αδύνατη η αποθήκευση της επιλογής προϊόντος"
"Product option with id %1 does not exist","Δεν υπάρχει επιλογή προϊόντος με αναγνωριστικό %1"
"Are you sure you want to delete this category?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτήν την κατηγορία;"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Ορίστε κατηγορία Ρίζα για αυτό το κατάστημα στη <a href=""%1"">ρύθμιση παραμέτρων</a>."
"Manage Options (values of your attribute)","Διαχείριση επιλογών (τιμές του χαρακτηριστικού σας)"
"An attribute group named ""/name/"" already exists"".","Μία ομάδα χαρακτηριστικού που ονομάζεται «/name/» υπάρχει ήδη."
"Close panel","Κλείσιμο πίνακα"
"Allow Multiple Boxes for Shipping.","Επιτρέπονται πολλαπλά πλαίσια για τη Αποστολή Παραγγελίας."
"Ok","Οκ"
"Watermark Default Size","Προεπιλεγμένο Μέγεθος Υδατογραφήματος"
"Watermark Opacity, Percent","Αδιαφάνεια Υδατογραφήματος, Ποσοστό"
"Watermark","Υδατογράφημα"
"Watermark Position","Θέση υδατογραφήματος"
"none","κανένα"
"File validation failed.","Η επαλήθευση αρχείου απέτυχε."
"text","κείμενο"
"Tier Price","Κλιμακωτή Τιμή"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Αν το Magento site σας έχει πολαπλές προβολές, μπορείτε να ορίσετε το πεδίο για να εφαρμόσετε σε μια συγκεκριμένη προβολή."
"Sort Products By","Ταξινόμιση προϊόντων κατά"
"Default Product Sorting","Προεπιλεγμένη ταξινόμηση προϊόντων"
"Use Parent Category Settings","Χρησιμοποιήστε τις Ρυθμίσεις Γονικής Κατηγορίας"
"Page not found","Η σελίδα δεν βρέθηκε"
"Full file path is expected.","Αναμένεται πλήρης διαδρομή αρχείου."
"from","από"
"to","σε"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Το χαρακτηριστικό δεν μπορεί να αποθηκευτεί λόγο σφάλματος. Επιβεβαιώστε τις πληροφορίες σας και δοκιμάστε ξανά. Αν το σφάλμα επιμένει, δοκιμάστε ξανά αργότερα."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","Το χαρακτηριστικό δεν μπορεί να επαληθευτεί λόγο σφάλματος. Επιβεβαιώστε τις πληροφορίες σας και δοκιμάστε ξανά. Αν το σφάλμα επιμένει, δοκιμάστε ξανά αργότερα."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Προσθέσατε το προϊόν %1 στη <a href=""%2"">λίστα σύγκρισης</a>."
"Maximum %1 characters","Μέγιστο %1 χαρακτήρες"
"remaining","απομένουν"
"too many","πάρα πολλά"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Η τιμή αυτή δεν ακολουθεί την καθορισμένη μορφή (για παράδειγμα, 200Χ300)."
"Applies to category pages","Ισχύει για σελίδες κατηγοριών"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Ρυθμίσεις Μεταφόρτωση Eικόνων"
"Quality","Ποιότητα"
"Jpeg quality for resized images 1-100%.","Ποιότητα Jpeg για αλλαγή μεγέθους εικόνων 1-100%."
"Cost","Κόστος"
"The ""%1"" attribute is required. Enter and try again.","Η ιδιότητα ""%1"" είναι απαραίτητη. Εισάγετε και προσπαθήστε ξανά."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","Η τιμή του Διαχειριστή πρέπει να είναι μοναδική. (%1)"
"The product was unable to be saved. Please try again.","Το προϊόν δεν ήταν δυνατόν να αποθηκευτεί. Παρακαλώ δοκιμάστε ξανά."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","Το κατάστημα δεν καταχωρήθηκε. Επαληθεύστε το κατάστημα και δοκιμάστε ξανά."
"The ""%1"" attribute value is empty. Set the attribute and try again.","Η τιμή χαρακτηριστικού ""%1"" είναι κενή. Ορίστε το χαρακτηριστικό και δοκιμάστε ξανά."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","Το προϊόν δεν μπορεί να αποθηκευτεί."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","Δεν βρέθηκε εικόνα με το παρεχόμενο ID. Επαληθεύστε το ID και δοκιμάστε ξανά."
"The product doesn't exist. Verify and try again.","Το προϊόν δεν υπάρχει. Επαληθεύστε και δοκιμάστε ξανά."
"The image doesn't exist. Verify and try again.","Η εικόνα δεν υπάρχει. Επαληθεύστε και δοκιμάστε ξανά."
"The image doesn't exist.","Η εικόνα δεν υπάρχει."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","Δεν ήταν δυνατή η μετακίνηση του αρχείου ""%1""."
"The ProductSku is empty. Set the ProductSku and try again.","Το Sku Προϊόντος είναι κενό. Ορίστε το Sku Προϊόντος και δοκιμάστε ξανά."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","Το αρχείο είναι κενό. Επιλέξτε ένα άλλο αρχείο και δοκιμάστε ξανά."
"The text is too long. Shorten the text and try again.","Το κείμενο είναι πολύ μεγάλο. Συντομεύστε το κείμενο και δοκιμάστε ξανά."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","Η μεταφόρτωση αρχείου απέτυχε. Προσπαθήστε να μεταφορτώσετε ξανά."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","Η ομάδα με το ID ""%1"" δεν βρέθηκε. Επιβεβαιώστε το ID και δοκιμάστε ξανά."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","Το προϊόν που ζητήθηκε δεν υπάρχει. Επιβεβαιώστε το προϊόν και δοκιμάστε ξανά."
"The Product with the ""%1"" SKU doesn't exist.","Το προϊόν με το ""%1"" SKU δεν υπάρχει."
"The ""%1"" product couldn't be removed.","Το προϊόν ""%1"" δεν ήταν δυνατόν να αφαιρεθεί."
"Category with ID: %s doesn't exist","Δεν υπάρχει κατηγορία με ID: ""%s"""
"Product Name or SKU","Όνομα Προϊόντος ή SKU"
"Start typing to find products","Ξεκινήστε την πληκτρολόγηση για να βρείτε προϊόντα"
"Product with ID: %s doesn't exist","Το προϊόν με ID: %s δεν υπάρχει"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","Ένα στοιχείο πρέπει να επιλεγεί. Επιλέξτε και δοκιμάστε ξανά."
"Use Static URLs for Media Content in WYSIWYG","Χρήση Στατικών Διευθύνσεων URL για Περιεχόμενο Πολυμέσων σε WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Το περιεχόμενο πολυμέσων θα εισαχθεί στο πρόγραμμα επεξεργασίας ως στατική διεύθυνση URL. Το περιεχόμενο των πολυμέσων δεν ενημερώνεται, εάν η ρύθμιση παραμέτρων συστήματος URL βάσης αλλάξει."
"Default Layouts","Προεπιλεγμένες Διατάξεις"
"Default Product Layout","Προεπιλεγμένη Διάταξη Προϊόντος"
"Default Category Layout","Προεπιλεγμένη Διάταξη Κατηγορίας"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
Χρόνος σε δευτερόλεπτα πριν από τις ενημερώσεις γραφικών στοιχείων.
                    <br/>Αν δεν οριστεί, ισούται με 86400 δευτερόλεπτα (24 ώρες). Για άμεση ενημέρωση γραφικού στοιχείου, πηγαίνετε στο 
 Διαχείριση Cache και εκκαθαρίστε την προσωρινή μνήμη cache της ενότητας HTML εξόδου.
                    <br/>Το Γραφικό στοιχείο δεν θα εμφανίσει προϊόντα που ξεκινούν να ταιριάζουν με τις καθορισμένες προϋποθέσεις μέχρι να ανανεωθεί η προσωρινή μνήμη cache.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Κωδικός Χαρακτηριστικού ""%1"" δεν είναι έγκυρος. Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (a-z ή A-Z), αριθμών (0-9) ή χαρακτήρες υπογράμμισης (_) σε αυτό το πεδίο, ο πρώτος χαρακτήρας πρέπει να είναι ένα γράμμα."
"Advanced","Προηγμένες"
