"Root","जड़"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","से"
"to","सेवा मेरे"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","आपने उत्पाद %1 को <a href=""%2""> तुलना सूची </a> से जोड़ा।"
"Maximum %1 characters","अधिकतम %1 वर्ण"
"remaining","शेष"
"too many","बहुत अधिक"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","यह मान निर्दिष्ट प्रारूप का पालन नहीं करता है (उदाहरण के लिए, 200X300)।"
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","व्यवस्थापक का मान अद्वितीय होना चाहिए। (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","उत्पाद का नाम या SKU"
"Start typing to find products","उत्पादों को खोजने के लिए टाइप करना शुरू करें"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","WYSIWYG में मीडिया सामग्री के लिए स्टेटिक URL का उपयोग करें"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","मीडिया सामग्री को एक स्थिर यूआरएल के रूप में संपादक में डाला जाएगा। यदि सिस्टम कॉन्फ़िगरेशन बेस URL बदलता है तो मीडिया सामग्री अपडेट नहीं की जाती है।"
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Advanced"
