"Billing Agreements","Paypal Zahlungsfreigaben"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum Finanzierung bewerben?</a><br/>
                            <strong>Geben Sie Ihrem Umsatz einen Schub, wenn Sie für Finanzierung werben.</strong><br/>PayPal hilft damit, Betrachter mit Hilfe der PayPal Credit&#174; in
                            Käufer umzuwandeln. Ihre Kunden habe mehr Zeit zu bezahlen und Sie werden sofort bezahlt – ohne Zusatzkosten für Sie.
                            Benutzen Sie PayPals kostenlosen Werbe-Banner um PayPal Credit&#174;  Finanzierung als eine Zahlungsart zu bewerben, wenn Ihre Kunden mit PayPal bezahlen.
                            Das PayPal Werbeprogramm hat eine Erhöhung der Einkäufe sowie auch  eine Erhöhung der durchschnittlichen Kaufmengen um 15 % oder mehr nachgewiesen.
                            <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details ansehen</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum Finanzierung bewerben?</a><br/>
                            <strong>Geben Sie Ihrem Umsatz einen Schub, wenn Sie für Finanzierung werben.</strong><br/>PayPal hilft damit, Betrachter mit Hilfe der PayPal Credit&#174; in
                            Käufer umzuwandeln. Ihre Kunden habe mehr Zeit zu bezahlen und Sie werden sofort bezahlt – ohne Zusatzkosten für Sie.
                            Benutzen Sie PayPals kostenlosen Werbe-Banner um PayPal Credit&#174;  Finanzierung als eine Zahlungsart zu bewerben, wenn Ihre Kunden mit PayPal bezahlen.
                            Das PayPal Werbeprogramm hat eine Erhöhung der Einkäufe sowie auch  eine Erhöhung der durchschnittlichen Kaufmengen um 15 % oder mehr nachgewiesen.
                            <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details ansehen</a>."
"Vault enabled","Tresor aktiviert"
"Gold","Gold"
"Blue","Blau"
"Silver","Silber"
"Black","Schwarz"
"Vertical","Vertikal"
"Horizontal","Horizontal"
"Pill","Pille"
"Rectangle","Rechteck"
"Medium","Mittel"
"Large","Groß"
"Responsive","Bearbeiter(in)"
"Checkout","Kasse"
"Pay","Bezahlen"
"Buy Now","Jetzt kaufen"
"PayPal","PayPal"
"Installment","Installation"
"PayPal Credit","PayPal-Guthaben"
"PayPal Guest Checkout Credit Card Icons","PayPal Gast Checkout Kreditkarten Icons"
"Elektronisches Lastschriftverfahren - German ELV","Elektronisches Lastschriftverfahren - Deutsche ELV"
"Something went wrong with your request. Please try again later.","Mit Ihrer Anfrage ist etwas schief gelaufen. Bitte versuchen Sie es später erneut."
"Customize Smart Buttons","Smart Buttons anpassen"
"Checkout Page","Checkout-Seite"
"Customize Button","Button anpassen"
"Label","Bezeichnung"
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","Die Installationsfunktion ist nur in diesen Locales verfügbar: de_MX, es_MX, en_BR, pt_BR."
"Mexico Installment Period","Mexiko-Installationszeitraum"
"Brazil Installment Period","Brasiliens Installationszeitraum"
"Layout","Layout"
"Select Responsive to ensure the PayPal button renders correctly on mobile devices.","Wählen Sie Responsive, um sicherzustellen, dass die PayPal-Taste korrekt auf mobilen Geräten Rendern."
"Shape","Form"
"Color","Farbe"
"Product Pages","Produkt-Seiten"
"Cart Page","Warenkorbseite"
"Mini Cart","Miniwarenkorb"
"Features","Funktionen"
"Disable Funding Options","Finanzierungsoptionen deaktivieren"
"PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD.","PayPal wird automatisch jede Option für die Finanzierung für Käufer anzeigen.
                                Zum Beispiel wird PayPal-Guthaben nur an Käufer in Ländern angezeigt, in denen PayPal-Guthaben
                                angeboten wird und die vom Händler angebotene Währung USD ist."
