"Billing Agreements","බිල්පත් ගිවිසුම්"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","මෙම අගය ගබඩා බැලීම් අනුව ""ඩෙබිට් හෝ ක්‍රෙඩිට් කාඩ්"" ලෙස සැකසීමට නිර්දේශ කෙරේ."
"CVV Entry is Editable","CVV ප්‍රවේශය සංස්කරණය කළ හැකි ය"
"Require CVV Entry","CVV ප්‍රවේශය අවශ්‍ය වේ"
"Send Email Confirmation","විද්‍යුත් තැපෑල තහවුරු කිරීමක් යවන්න"
"URL method for Cancel URL and Return URL","URL අවලංගු කිරීම සහ ආපසු URL සඳහා URL ක්‍රමය"
"Payflow Link","ගෙවීමේ සබැඳිය"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","පාරිභෝගිකයින්ට ඔබේ වෙබ් අඩවිය හැර යාමෙන් තොරව ගෙවීමට ඉඩ සලසන PCI-අනුකූල ද්වාරයක් සමඟ ඔබේ වෙළඳ ගිණුම සම්බන්ධ කරන්න. (<u>Express Checkout</u>ඇතුළත් වේ)"
"Payflow Link and Express Checkout","Payflow Link සහ Express Checkout"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","ඔබට ඔබගේ ගිණුමේ බහු පරිශීලකයින් නොමැති නම්, කරුණාකර ඔබේ විකුණුම්කරු/වෙළඳාම පිවිසුම මෙහි නැවත ඇතුල් කරන්න."
"Enable Payflow Link","Payflow සබැඳිය සබල කරන්න"
"Enable Express Checkout","Express Checkout සබල කරන්න"
"Basic Settings - PayPal Payflow Link","මූලික සැකසුම් - PayPal Payflow Link"
"Website Payments Pro Hosted Solution","වෙබ් අඩවි ගෙවීම් Pro Hosted විසඳුම"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","ඔබේ වෙබ් අඩවියේ පාරිභෝගිකයන් තබා ගන්නා PCI අනුකූල පිරික්සුමකින් ගෙවීම් පිළිගන්න. (<u>Express Checkout</u>ඇතුළත් වේ)"
"Payments Pro Hosted Solution","Payments Pro Hosted විසඳුම"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","මූලික සැකසුම් - PayPal Payments Pro Hosted Solution"
"Display Express Checkout in the Payment Information step","ගෙවීම් තොරතුරු පියවරේදී Express Checkout සංදර්ශන කරන්න"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solution සහ Express Checkout"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","මූලික සැකසුම් - PayPal වෙබ් අඩවි ගෙවීම් Pro Hosted විසඳුම"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","ඔබේ වෙබ් අඩවිය හැර යාමෙන් තොරව ගනුදෙනුකරුවන්ට ගෙවීමට ඉඩ සලසන සම්පූර්ණයෙන්ම අභිරුචිකරණය කළ හැකි ද්වාරයක් සමඟ ඔබේ වෙළඳ ගිණුම සම්බන්ධ කරන්න. (<u>Express Checkout</u>ඇතුළත් වේ)"
"Vault Enabled","සුරක්ෂිතාගාරය සක්රිය කර ඇත"
"Basic Settings - PayPal Payflow Pro","මූලික සැකසුම් - PayPal Payflow Pro"
"Vault Title","සුරක්ෂිතාගාරයේ මාතෘකාව"
"Credit Card Settings","ක්රෙඩිට් කාඩ් සැකසීම්"
"Allowed Credit Card Types","අවසර ලත් ක්‍රෙඩිට් කාඩ් වර්ග"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","ඇමරිකන් එක්ස්ප්‍රස් කාඩ්පත් සඳහා සහාය වීම සඳහා අමතර ගිවිසුමක් අවශ්‍ය වේ. <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>තව දැනගන්න."
"CVV and AVS Settings","CVV සහ AVS සැකසුම්"
"Reject Transaction if:","ගනුදෙනුව ප්‍රතික්ෂේප කරන්නේ නම්:"
"AVS Street Does Not Match","AVS වීදිය නොගැලපේ"
"AVS Zip Does Not Match","AVS Zip නොගැලපේ"
"Card Issuer Is Outside The United States","කාඩ්පත් නිකුත් කරන්නා එක්සත් ජනපදයෙන් පිටත සිටී"
"Card Security Code Does Not Match","කාඩ්පත් ආරක්ෂණ කේතය නොගැලපේ"
"Payflow Pro and Express Checkout","Payflow Pro සහ Express Checkout"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"We can't contact the PayPal gateway.","We can't contact the PayPal gateway."
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Matched whole nine-didgit ZIP (no Address)","Matched whole nine-didgit ZIP (no Address)"
"Yes. Matched Address and five-didgit ZIP","Yes. Matched Address and five-didgit ZIP"
"Invalid method %1::%2(%3)","Invalid method %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website."
"PayPal Payment Gateways","PayPal Payment Gateways"
"1","1"
"PayPal Payment Solutions","PayPal Payment Solutions"
"Email Associated with PayPal Merchant Account","Email Associated with PayPal Merchant Account"
"Sandbox Credentials","Sandbox Credentials"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","It is recommended to set this value to ""Magento_Paypal"" per store views."
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Includes Express Checkout)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accept payments with a PCI-compliant checkout that keeps customers on your site."
"Payflow Link (Includes Express Checkout)","Payflow Link (Includes Express Checkout)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accept payments with a PCI compliant checkout that keeps customers on your site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site."
"International AVS Indicator Does Not Match","International AVS Indicator Does Not Match"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Includes Express Checkout)"
"Save for later use.","පසුකාලීන භාවිතය සඳහා සුරකින්න."
"Payments Standard","ගෙවීම් සම්මතය"
"Accept credit card and PayPal payments securely.","ක්‍රෙඩිට් කාඩ් සහ පේපෑල් ගෙවීම් ආරක්ෂිතව පිළිගන්න."
"Basic Settings - PayPal Website Payments Standard","මූලික සැකසුම් - PayPal වෙබ් අඩවි ගෙවීම් සම්මතය"
"Website Payments Standard","වෙබ් අඩවි ගෙවීම් සම්මතය"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","ඇණවුම ලබා දී නැත. පළමුව, නියමයන් සහ කොන්දේසි වලට එකඟ වන්න, ඉන්පසු ඔබේ ඇණවුම නැවත කිරීමට උත්සාහ කරන්න."
"The payment couldn't be processed at this time. Please try again later.","මෙම අවස්ථාවේදී ගෙවීම සැකසීමට නොහැකි විය. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The verification transaction can't be voided. ","සත්‍යාපන ගනුදෙනුව අවලංගු කළ නොහැක. "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout ඔබට PayPal Credit&#174; හරහා මූල්‍යකරණයට ප්‍රවේශය ලබා දීමට ඔබට ඉඩ සලසයි - ඔබට අමතර වියදමකින් තොරව.
                        ගනුදෙනුකරුවන්ට ගෙවීමට වැඩි කාලයක් තිබියදීත්, ඔබට කලින් ගෙවනු ලැබේ. පෙර ඒකාබද්ධ ගෙවීම් බොත්තමක් පාරිභෝගිකයින්ට PayPal Credit&#174;සමඟ ඉක්මනින් ගෙවීමට ඉඩ දෙයි.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">තව දැනගන්න</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">මුල්‍යකරණය ප්‍රචාරණය කරන්නේ ඇයි?</a><br/>
                        <strong>ඔබ මූල්‍යකරණය ප්‍රචාරණය කරන විට ඔබේ විකුණුම් වැඩි දියුණු කරන්න.</strong><br/>පේපෑල් ක්‍රෙඩිට්&#174;වෙතින් මූල්‍යකරණය
                        සමඟ බ්‍රව්සර් ගැනුම්කරුවන් බවට පත් කිරීමට PayPal උදවු කරයි. ඔබේ ගනුදෙනුකරුවන්ට ගෙවීමට වැඩි කාලයක් ඇත, ඔබ ඉදිරියෙන් ගෙවනු ලබන අතර - ඔබට අමතර වියදමකින් තොරව.
                        ඔබේ ගනුදෙනුකරුවන් PayPal සමඟ පරීක්ෂා කරන විට ගෙවීම් විකල්පයක් ලෙස PayPal Credit&#174; මූල්‍යකරණය ප්‍රචාරණය කිරීමට ඉඩ සලසන PayPal හි නොමිලේ බැනර් දැන්වීම් භාවිතා කරන්න.
                        PayPal වෙළඳ ප්‍රචාරණ වැඩසටහන අමතර මිලදී ගැනීම් උත්පාදනය කිරීම මෙන්ම පාරිභෝගිකයාගේ සාමාන්‍ය මිලදී ගැනීමේ ප්‍රමාණය 15%
                        හෝ ඊට වැඩි ප්‍රමාණයකින් වැඩි කරන බව පෙන්වා දී ඇත. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">විස්තර</a>බලන්න."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">මුල්‍යකරණය ප්‍රචාරණය කරන්නේ ඇයි?</a><br/>
                            <strong>ඔබ මූල්‍යකරණය ප්‍රචාරණය කරන විට ඔබේ විකුණුම් වැඩි දියුණු කරන්න.</strong><br/>පේපෑල් ක්‍රෙඩිට්&#174;වෙතින් මූල්‍යකරණය
                            සමඟ බ්‍රව්සර් ගැනුම්කරුවන් බවට පත් කිරීමට PayPal උදවු කරයි. ඔබේ ගනුදෙනුකරුවන්ට ගෙවීමට වැඩි කාලයක් ඇත, ඔබ ඉදිරියෙන් ගෙවනු ලබන අතර - ඔබට අමතර වියදමකින් තොරව.
                            ඔබේ ගනුදෙනුකරුවන් PayPal සමඟ පරීක්ෂා කරන විට ගෙවීම් විකල්පයක් ලෙස PayPal Credit&#174; මූල්‍යකරණය ප්‍රචාරණය කිරීමට ඉඩ සලසන PayPal හි නොමිලේ බැනර් දැන්වීම් භාවිතා කරන්න.
                            PayPal වෙළඳ ප්‍රචාරණ වැඩසටහන අමතර මිලදී ගැනීම් උත්පාදනය කිරීම මෙන්ම පාරිභෝගිකයාගේ සාමාන්‍ය මිලදී ගැනීමේ ප්‍රමාණය 15%
                            හෝ ඊට වැඩි ප්‍රමාණයකින් වැඩි කරන බව පෙන්වා දී ඇත. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">විස්තර</a>බලන්න."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">මුල්‍යකරණය ප්‍රචාරණය කරන්නේ ඇයි?</a><br/>
                                <strong>ඔබ මූල්‍යකරණය ප්‍රචාරණය කරන විට ඔබේ විකුණුම් වැඩි දියුණු කරන්න.</strong><br/>පේපෑල් ක්‍රෙඩිට්&#174;වෙතින් මූල්‍යකරණය
                                සමඟ බ්‍රව්සර් ගැනුම්කරුවන් බවට පත් කිරීමට PayPal උදවු කරයි. ඔබේ ගනුදෙනුකරුවන්ට ගෙවීමට වැඩි කාලයක් ඇත, ඔබ ඉදිරියෙන් ගෙවනු ලබන අතර - ඔබට අමතර වියදමකින් තොරව.
                                ඔබේ ගනුදෙනුකරුවන් PayPal සමඟ පරීක්ෂා කරන විට ගෙවීම් විකල්පයක් ලෙස PayPal Credit&#174; මූල්‍යකරණය ප්‍රචාරණය කිරීමට ඉඩ සලසන PayPal හි නොමිලේ බැනර් දැන්වීම් භාවිතා කරන්න.
                                PayPal වෙළඳ ප්‍රචාරණ වැඩසටහන අමතර මිලදී ගැනීම් උත්පාදනය කිරීම මෙන්ම පාරිභෝගිකයාගේ සාමාන්‍ය මිලදී ගැනීමේ ප්‍රමාණය 15%
                                හෝ ඊට වැඩි ප්‍රමාණයකින් වැඩි කරන බව පෙන්වා දී ඇත. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">විස්තර</a>බලන්න."
"Vault enabled","Vault enabled"
"Gold","රන්"
"Blue","නිල්"
"Silver","රිදී"
"Black","කලු"
"Vertical","සිරස්"
"Horizontal","තිරස්"
"Pill","පෙති"
"Rectangle","සෘජුකෝණාස්රය"
"Medium","Medium"
"Large","Large"
"Responsive","Responsive"
"Checkout","පරීක්ෂාකාරී වන්න"
"Pay","ගෙවන්න"
"Buy Now","දැන් මිලදී ගන්න"
"PayPal","PayPal"
"Installment","වාරිකය"
"PayPal Credit","PayPal ණය"
"PayPal Guest Checkout Credit Card Icons","PayPal Guest Checkout Credit Card Icons"
"Elektronisches Lastschriftverfahren - German ELV","Elektronisches Lastschriftverfahren - ජර්මානු ELV"
"Something went wrong with your request. Please try again later.","ඔබගේ ඉල්ලීමෙහි යම් දෙයක් වැරදී ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Customize Smart Buttons","ස්මාර්ට් බොත්තම් අභිරුචිකරණය කරන්න"
"Checkout Page","පිටවීමේ පිටුව"
"Customize Button","අභිරුචිකරණ බොත්තම"
"Label","ලේබලය"
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","වාරික විශේෂාංගය ලබා ගත හැක්කේ මෙම ස්ථාන වල පමණි: en_MX, es_MX, en_BR, pt_BR."
"Mexico Installment Period","මෙක්සිකෝ වාරික කාලය"
"Brazil Installment Period","බ්රසීල වාරික කාලය"
"Layout","පිරිසැලසුම"
"Select Responsive to ensure the PayPal button renders correctly on mobile devices.","Select Responsive to ensure the PayPal button renders correctly on mobile devices."
"Shape","හැඩය"
"Color","වර්ණ"
"Product Pages","නිෂ්පාදන පිටු"
"Cart Page","කරත්ත පිටුව"
"Mini Cart","කුඩා කරත්තය"
"Features","විශේෂාංග"
"Disable Funding Options","අරමුදල් විකල්ප අබල කරන්න"
"PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD.","PayPal එක් එක් සක්‍රීය අරමුදල් විකල්පය සුදුසුකම් ලත් ගැනුම්කරුවන්ට ස්වයංක්‍රීයව සංදර්ශන කරයි.
                                උදාහරණයක් ලෙස, PayPal Credit පෙන්වන්නේ PayPal Credit
                                ක් පිරිනැමෙන සහ වෙළෙන්දා විසින් පිරිනමනු ලබන මුදල් ඇ.ඩො."
