"Sign Out","ಸೈನ್ ಔಟ್"
"Please enter the city.","Please enter the city."
"Please enter the phone number.","Please enter the phone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter the country.","Please enter the country."
"Please enter a first name.","Please enter a first name."
"Please enter a last name.","Please enter a last name."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Please enter a TAX/VAT number."
"Please enter a gender.","Please enter a gender."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"Submit","Submit"
"Login","Login"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Checkout out as a new customer","Checkout out as a new customer"
"Create Account","Create Account"
"Checkout out using your account","Checkout out using your account"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Last Logged In","Last Logged In"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"You are signed out.","You are signed out."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","ಪ್ರಮಾಣೀಕರಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ"
"Page not found","Page not found"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Text","ಪಠ್ಯ"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Provided Zip/Postal Code seems to be invalid.","ನಮೂದಿಸಿರುವ ಪಿನ್ ಕೋಡ್ ಅಸಿಂಧುವಾಗಿರುವಂತೆ ಕಾಣುತ್ತಿದೆ."
" Example: "," ಉದಾಹರಣೆ: "
"If you believe it is the right one you can ignore this notice.","ಇದು ನಿಮಗೆ ಸರಿಯೆಂದು ನಂಬಿಕೆಯಿದ್ದಲ್ಲಿ ನೀವು ಈ ನೋಟೀಸನ್ನು ನಿರ್ಲಕ್ಷಿಸಬಹುದು."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The password doesn't match this account. Verify the password and try again.","ಗುಪ್ತಪದ ಈ ಖಾತೆಗೆ ಹೊಂದಿಕೆಯಾಗುತ್ತಿಲ್ಲ. ಗುಪ್ತಪದವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The email address is incorrect. Verify the email address and try again.","ಮಿಂಚೆ ವಿಳಾಸ ಅಸಿಂಧುವಾಗಿದೆ. ವಿಳಾಸ ಪರಿಶೀಲಿಸಿ ಮತ್ತು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","ದೃಢೀಕರಣದ ಅಗತ್ಯವಿಲ್ಲ."
"The account is already active.","ಖಾತೆಯು ಈಗಾಗಲೇ ಸಕ್ರಿಯವಾಗಿದೆ."
"The confirmation token is invalid. Verify the token and try again.","ಖಾತೆಯನ್ನು ನಿರ್ಬಂಧಿಸಲಾಗಿದೆ."
"This account isn't confirmed. Verify and try again.","ಖಾತೆಯನ್ನು ಖಚಿತಪಡಿಸಿಲ್ಲ. ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The password needs at least %1 characters. Create a new password and try again.","ಗುಪ್ತಪದದಲ್ಲಿ ಕನಿಷ್ಟ %1 ಅಕ್ಷರಗಳಲ್ಲಿರಬೇಕು. ಹೊಸ ಗುಪ್ತಪದವನ್ನು ರಚಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The password can't begin or end with a space. Verify the password and try again.","ಗುಪ್ತಪದವು ಖಾಲಿಜಾಗದೊಡನೆ ಶುರುವಾಗುವಂತಿಲ್ಲ. ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The password can't be the same as the email address. Create a new password and try again.","ಗುಪ್ತಪದ ಮತ್ತು ಮಿಂಚೆವಿಳಾಸ ಒಂದೇ ಆಗಿರಲು ಸಾದ್ಯವಿಲ್ಲ. ಹೊಸ ಗುಪ್ತಪದವನ್ನು ರಚಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The store view is not in the associated website.","The store view is not in the associated website."
"A customer with the same email address already exists in an associated website.","ಇದೇ ಮಿಂಚೆವಿಳಾಸದೊಂದಿಗೆ ಹೊಂದಿಕೊಂಡಿರುವ ಜಾಲತಾಣದಲ್ಲಿ ಗ್ರಾಹಕರೊಬ್ಬರು ಈಗಾಗಲೇ ಅಸ್ತಿತ್ವದಲ್ಲಿದ್ದಾರೆ."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"A valid password reset token is missing. Enter and try again.","ಸರಿಯಾದ ಗುಪ್ತಪದ ಮರುಹೊಂದಿಕೆ ಟೊಕನ್ ಕಾಣೆಯಾಗಿದೆ. ನಮೂದಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"The customer email is missing. Enter and try again.","ಗ್ರಾಹಕರ ಮಿಂಚೆ ಕಾಣೆಯಾಗಿದೆ. ನಮೂದಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Delete %1","%1 ಅನ್ನು ಅಳಿಸಿ"
"Are you sure you want to delete a %1 record?","%1 ದಾಖಲೆಯನ್ನು ಅಳಿಸಲು ಬಯಸುವಿರಾ?"
"Customer not logged in","ಗ್ರಾಹಕರು ಲಾಗಿನ್ ಆಗಿಲ್ಲ"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","ಸಧ್ಯಕ್ಕೆ ನಾವು ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸವನ್ನು ಬದಲಿಸಲಾಗುವುದಿಲ್ಲ."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","ಸಧ್ಯಕ್ಕೆ ನಾವು ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸವನ್ನು ಬದಲಿಸಲಾಗುವುದಿಲ್ಲ."
"A total of %1 record(s) have been deleted.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ಅಳಿಸಲಾಗಿದೆ."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","ಈ ಥರಹ ಐಡಿಯೊಂದಿಗೆ ಯಾವುದೇ ಗ್ರಾಹಕರಿಲ್ಲ."
"We can't change customer address right now.","ಸಧ್ಯಕ್ಕೆ ನಾವು ಗ್ರಾಹಕರ ವಿಳಾಸವನ್ನು ಬದಲಿಸಲಾಗುವುದಿಲ್ಲ."
"Street","ರಸ್ತೆ"
"Set as default billing","ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ನಂತೆ ಅಳವಡಿಸಿ"
"Set address as default billing","ವಿಳಾಸವನ್ನು ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ನಂತೆ ಅಳವಡಿಸಿ"
"Are you sure you want to set the address as default billing address?","ವಿಳಾಸವನ್ನು ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ ದಂತೆ ಅಳವಡಿಸಲು ಬಯಸುವಿರಾ?"
"Set as default shipping","ನಿಯೋಜಿತ ರವಾನೆಯಂತೆ ಅಳವಡಿಸಿ"
"Set address as default shipping","ವಿಳಾಸವನ್ನು ನಿಯೋಜಿತ ರವಾನೆಯಂತೆ ಅಳವಡಿಸಿ"
"Are you sure you want to set the address as default shipping address?","ವಿಳಾಸವನ್ನು ನಿಯೋಜಿತ ರವಾನೆವಿಳಾಸ ದಂತೆ ಅಳವಡಿಸಲು ಬಯಸುವಿರಾ?"
"Delete address","ವಿಳಾಸ ಅಳಿಸಿ"
"Are you sure you want to delete the address?","ನೀವು ವಿಳಾಸವನ್ನು ಅಳಿಸಲು ಬಯಸುವಿರಾ?"
"Additional addresses","ಹೆಚ್ಚುವರಿ ವಿಳಾಸಗಳು"
"State","ರಾಜ್ಯ"
"Actions","ಕ್ರಿಯೆಗಳು"
"Sorry, there has been an error processing your request. Please try again later.","ಕ್ಷಮಿಸಿ, ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಸಂಸ್ಕರಿಸುವಲ್ಲಿ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"Reset password","ಗುಪ್ತಪದವನ್ನು ಮರುಹೊಂದಿಸಿ"
"Invalidate tokens","ಅಸಿಂಧುವಾದ ಟೋಕನ್‍ಗಳು"
"Update Address","ವಿಳಾಸವನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Name Prefix","ಹೆಸರಿನ ಪೂರ್ವಪ್ರತ್ಯಯ"
"Name Suffix","ಹೆಸರಿನ ಅಂತ್ಯಪ್ರತ್ಯಯ"
"Middle Name/Initial","ಮಧ್ಯದ ಹೆಸರು/ಇನಿಶಿಯಲ್ಲು"
"Are you sure to delete selected address?","ಆಯ್ಕೆಮಾಡಿದ ವಿಳಾಸವನ್ನು ಅಳಿಸಲು ಬಯಸುವಿರಾ?"
"Are you sure you want to delete the selected customers?","ಆಯ್ಕೆಮಾಡಿದ ಗ್ರಾಹಕರನ್ನು ಅಳಿಸಲು ಬಯಸುವಿರಾ?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","ಗ್ರಾಹಕರು ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸವನ್ನು ಹೊಂದಿಲ್ಲ"
"The customer does not have default shipping address","ಗ್ರಾಹಕರು ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸವನ್ನು ಹೊಂದಿಲ್ಲ"
