"Sign Out","સાઇન આઉટ કરો"
"Are you sure you want to set the address as default billing address?","શું તમે ખરેખર સરનામાંને ડિફૉલ્ટ બિલિંગ સરનામું તરીકે સેટ કરવા માંગો છો?"
"Set as default shipping","ડિફોલ્ટ શિપિંગ તરીકે સેટ કરો"
"Set address as default shipping","ડિફોલ્ટ શિપિંગ તરીકે સરનામું સેટ કરો"
"Are you sure you want to set the address as default shipping address?","શું તમે ખરેખર સરનામાંને ડિફોલ્ટ શિપિંગ સરનામાં તરીકે સેટ કરવા માંગો છો?"
"Delete address","સરનામું કાઢી નાખો"
"Are you sure you want to delete the address?","શું તમે ખરેખર સરનામું કાઢી નાખવા માંગો છો?"
"Additional addresses","વધારાના સરનામાં"
"State","રાજ્ય"
"Actions","ક્રિયાઓ"
"Sorry, there has been an error processing your request. Please try again later.","માફ કરશો, તમારી વિનંતી પર પ્રક્રિયા કરવામાં ભૂલ આવી છે. પછીથી ફરી પ્રયત્ન કરો."
"Reset password","પાસવર્ડ ફરીથી સેટ કરો"
"Invalidate tokens","અમાન્ય ટોકન્સ"
"Update Address","સરનામું અપડેટ કરો"
"Name Prefix","નામ ઉપસર્ગ"
"Name Suffix","નામ ઉપસર્ગ"
"Middle Name/Initial","મધ્ય નામ / પ્રારંભિક"
"Are you sure to delete selected address?","શું તમે પસંદ કરેલા સરનામાંને કાઢી નાખવા માંગો છો?"
"Are you sure you want to delete the selected customers?","શું તમે ખરેખર પસંદ કરેલા ગ્રાહકોને કાઢી નાખવા માંગો છો?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","શું તમે ખરેખર પસંદ કરેલા ગ્રાહકોને ન્યૂઝલેટરમાંથી અનસબ્સ્ક્રાઇબ કરવા માંગો છો?"
"The customer does not have default billing address","ગ્રાહક પાસે ડિફોલ્ટ બિલિંગ સરનામું નથી"
"The customer does not have default shipping address","ગ્રાહક પાસે ડિફોલ્ટ શિપિંગ સરનામું નથી"
