"Credit Memos","ණය මතක සටහන්"
"Use Aggregated Data","එකතු කළ දත්ත භාවිතා කරන්න"
"Orders Cron Settings","ඇණවුම් ක්‍රොන් සැකසුම්"
"Pending Payment Order Lifetime (minutes)","අපේක්ෂිත ගෙවීම් ඇණවුම ජීවිත කාලය (විනාඩි)"
"Sales Emails","විකුණුම් ඊමේල්"
"Asynchronous sending","අසමමුහුර්ත යැවීම"
"Enabled","සබල කර ඇත"
"New Order Confirmation Email Sender","නව ඇණවුම තහවුරු කිරීම ඊමේල් යවන්නා"
"New Order Confirmation Template","නව ඇණවුම් තහවුරු කිරීමේ අච්චුව"
"Email template chosen based on theme fallback when ""Default"" option is selected.","""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව ඊමේල් අච්චුව තෝරා ඇත."
"New Order Confirmation Template for Guest","අමුත්තන් සඳහා නව ඇණවුම් තහවුරු කිරීමේ අච්චුව"
"Send Order Email Copy To","ඇණවුම් ඊමේල් පිටපතක් යවන්න"
"Comma-separated","Comma-separated"
"Send Order Email Copy Method","ඇණවුම් ඊමේල් පිටපත් කිරීමේ ක්‍රමය යවන්න"
"Order Comment Email Sender","අදහස් දැක්වීමේ ඊමේල් යවන්නා ඇණවුම් කරන්න"
"Order Comment Email Template","අදහස් ඊමේල් අච්චුව ඇණවුම් කරන්න"
"Order Comment Email Template for Guest","ආගන්තුකයෙකු සඳහා අදහස් දැක්වීමේ ඊමේල් අච්චුව ඇණවුම් කරන්න"
"Send Order Comment Email Copy To","යවන්න ඇණවුම් අදහස විද්‍යුත් තැපෑලෙන් පිටපතක් වෙත"
"Send Order Comments Email Copy Method","ඇණවුම් අදහස් විද්‍යුත් තැපෑලෙන් පිටපත් කිරීමේ ක්‍රමය යවන්න"
"Invoice Email Sender","ඉන්වොයිස් ඊමේල් යවන්නා"
"Invoice Email Template","ඉන්වොයිස් ඊමේල් සැකිල්ල"
"Invoice Email Template for Guest","අමුත්තන් සඳහා ඉන්වොයිස් ඊමේල් ආකෘතිය"
"Send Invoice Email Copy To","ඉන්වොයිස් ඊමේල් පිටපතක් යවන්න"
"Send Invoice Email Copy Method","ඉන්වොයිස් ඊමේල් පිටපත් කිරීමේ ක්‍රමය යවන්න"
"Invoice Comment Email Sender","ඉන්වොයිස් අදහස් ඊමේල් යවන්නා"
"Invoice Comment Email Template","ඉන්වොයිස් අදහස් ඊමේල් සැකිල්ල"
"Invoice Comment Email Template for Guest","ආගන්තුකයා සඳහා ඉන්වොයිස් අදහස් විද්‍යුත් තැපැල් අච්චුව"
"Send Invoice Comment Email Copy To","ඉන්වොයිස් අදහස් විද්‍යුත් තැපෑලෙන් පිටපතක් යවන්න"
"Send Invoice Comments Email Copy Method","ඉන්වොයිස් අදහස් යැවීමට ඊමේල් පිටපත් කිරීමේ ක්‍රමය"
"Shipment","නැව්ගත"
"Shipment Email Sender","නැව්ගත කිරීමේ ඊමේල් යවන්නා"
"Shipment Email Template","නැව්ගත කිරීමේ ඊමේල් සැකිල්ල"
"Shipment Email Template for Guest","අමුත්තන් සඳහා නැව්ගත කිරීමේ ඊමේල් ආකෘතිය"
"Send Shipment Email Copy To","නැව්ගත කිරීමේ ඊමේල් පිටපත යවන්න"
"Send Shipment Email Copy Method","යැවීමේ ඊමේල් පිටපත් ක්‍රමය යවන්න"
"Shipment Comments","නැව්ගත කිරීම් අදහස්"
"Shipment Comment Email Sender","නැව්ගත කිරීමේ අදහස ඊමේල් යවන්නා"
"Shipment Comment Email Template","නැව්ගත කිරීමේ අදහස් ඊමේල් අච්චුව"
"Shipment Comment Email Template for Guest","ආගන්තුකයෙකු සඳහා නැව්ගත කිරීමේ අදහස් විද්‍යුත් තැපැල් අච්චුව"
"Send Shipment Comment Email Copy To","නැව්ගත කිරීමේ අදහස විද්‍යුත් තැපෑලෙන් පිටපතක් යවන්න"
"Send Shipment Comments Email Copy Method","යැවීමේ අදහස් විද්‍යුත් තැපෑලෙන් පිටපත් කිරීමේ ක්‍රමය යවන්න"
"Credit Memo Email Sender","ක්‍රෙඩිට් මෙමෝ ඊමේල් යවන්නා"
"Credit Memo Email Template","ක්‍රෙඩිට් මෙමෝ ඊමේල් අච්චුව"
"Credit Memo Email Template for Guest","ආගන්තුකයෙකු සඳහා ක්‍රෙඩිට් මෙමෝ ඊමේල් අච්චුව"
"Send Credit Memo Email Copy To","Credit Memo Email පිටපතක් යවන්න"
"Send Credit Memo Email Copy Method","ක්‍රෙඩිට් මෙමෝ ඊමේල් පිටපත් කිරීමේ ක්‍රමය යවන්න"
"Credit Memo Comment Email Sender","Credit Memo Comment Email යවන්නා"
"Credit Memo Comment Email Template","Credit Memo Comment Email සැකිල්ල"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Send Credit Memo Comment Email Copy To","ක්‍රෙඩිට් මතක සටහන් විද්‍යුත් තැපෑලෙන් පිටපතක් යවන්න"
"Send Credit Memo Comments Email Copy Method","Credit Memo Comments Email Copy Method යවන්න"
"PDF Print-outs","PDF මුද්‍රණය"
"Display Order ID in Header","ශීර්ෂයේ ඇණවුම් හැඳුනුම්පත පෙන්වන්න"
"Customer Order Status Notification","පාරිභෝගික ඇණවුම් තත්ත්‍ව දැනුම්දීම"
"Asynchronous indexing","අසමමුහුර්ත සුචිගත කිරීම"
"Orders and Returns Search Form","ඇණවුම් සහ ප්‍රතිලාභ සෙවුම් පෝරමය"
"Anchor Custom Title","නැංගුරම් අභිරුචි මාතෘකාව"
"Template","සැකිල්ල"
"Default Template","පෙරනිමි සැකිල්ල"
"Name","නම"
"Phone","දුරකථන"
"ZIP/Post Code","ZIP/තැපැල් කේතය"
"Signed-up Point","අත්සන් කළ ස්ථානය"
"Website","වෙබ් අඩවිය"
"Bill-to Name","නමට බිල්පත්"
"Created","නිර්මාණය කළා"
"Invoice Date","ඉන්වොයිසි දිනය"
"Ship-to Name","නමට නැව්ගත කරන්න"
"Ship Date","නැව්ගත කරන දිනය"
"Total Quantity","මුළු ප්රමාණය"
"Default Status","පෙරනිමි තත්ත්වය"
"State Code and Title","රාජ්ය කේතය සහ මාතෘකාව"
"Item Status","අයිතම තත්ත්වය"
"Original Price","මුල් මිල"
"Tax Percent","බදු ප්රතිශතය"
"All Store Views","සියලුම ගබඩා දර්ශන"
"PDF Credit Memos","PDF ණය මතක සටහන්"
"Purchase Point","මිලදී ගැනීමේ ස්ථානය"
"Print Invoices","ඉන්වොයිසි මුද්‍රණය කරන්න"
"Print Packing Slips","ඇසුරුම් ස්ලිප් මුද්‍රණය කරන්න"
"Print Credit Memos","ණය මතක සටහන් මුද්‍රණය කරන්න"
"Print All","සියල්ල මුද්‍රණය කරන්න"
"Print Shipping Labels","නැව්ගත කිරීමේ ලේබල මුද්‍රණය කරන්න"
"Purchase Date","මිලදීගත් දිනය"
"Grand Total (Base)","මහා එකතුව (පදනම)"
"Grand Total (Purchased)","විශාල එකතුව (මිලදී ගත්)"
"Customer Email","පාරිභෝගික ඊමේල්"
"Shipping and Handling","නැව්ගත කිරීම සහ හැසිරවීම"
"PDF Invoices","PDF ඉන්වොයිසි"
"PDF Shipments","PDF නැව්ගත කිරීම්"
"PDF Creditmemos","PDF Creditmemos"
"Refunds","ආපසු ගෙවීම්"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Something went wrong"
"Page not found.","Page not found."
"Improves dashboard performance but provides non-realtime data.","උපකරණ පුවරුවේ කාර්ය සාධනය වැඩි දියුණු කරන නමුත් තත්‍ය කාලීන නොවන දත්ත සපයයි."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Sample message.","ආදර්ශ පණිවිඩය."
"Limit per cron run","ක්‍රෝන් ධාවනයකට සීමාව"
"Grid Settings","ජාල සැකසුම්"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","නිෂ්පාදනය විකිණිය නොහැක."
"Get available payment methods","පවතින ගෙවීම් ක්‍රම ලබා ගන්න"
"Allow Zero GrandTotal","Zero GrandTotal ඉඩ දෙන්න"
"Allow Zero GrandTotal for Creditmemo","Creditmemo සඳහා Zero GrandTotal ඉඩ දෙන්න"
"Include Discount Amount","වට්ටම් මුදල ඇතුළත් කරන්න"
"The comment is missing. Enter and try again.","කමෙන්ට් එක අතුරුදහන්. ඇතුල් කර නැවත උත්සාහ කරන්න."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","""%1"" කූපන් කේතය වලංගු නොවේ. කේතය තහවුරු කර නැවත උත්සාහ කරන්න."
"The quote item ID needs to be received. Set the ID and try again.","උද්ධෘත අයිතම හැඳුනුම්පත ලැබිය යුතුය. හැඳුනුම්පත සකසා නැවත උත්සාහ කරන්න."
"The quote item needs to be loaded. Load the item and try again.","උද්ධෘත අයිතමය පූරණය කළ යුතුය. අයිතමය පූරණය කර නැවත උත්සාහ කරන්න."
"The invoice can't be created without products. Add products and try again.","නිෂ්පාදන නොමැතිව ඉන්වොයිසිය සෑදිය නොහැක. නිෂ්පාදන එකතු කර නැවත උත්සාහ කරන්න."
"The invoice can't be saved at this time. Please try again later.","මෙම අවස්ථාවේදී ඉන්වොයිසිය සුරැකිය නොහැක. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The shipping method is missing. Select the shipping method and try again.","නැව්ගත කිරීමේ ක්‍රමය මග හැරී ඇත. නැව්ගත කිරීමේ ක්‍රමය තෝරා නැවත උත්සාහ කරන්න."
"The payment method isn't selected. Enter the payment method and try again.","ගෙවීමේ ක්‍රමය තෝරා නැත. ගෙවීමේ ක්‍රමය ඇතුළත් කර නැවත උත්සාහ කරන්න."
"An ID is needed. Set the ID and try again.","හැඳුනුම්පතක් අවශ්‍යයි. හැඳුනුම්පත සකසා නැවත උත්සාහ කරන්න."
"The entity that was requested doesn't exist. Verify the entity and try again.","ඉල්ලා සිටි ආයතනය නොපවතී. ආයතනය සත්‍යාපනය කර නැවත උත්සාහ කරන්න."
"The order address couldn't be deleted.","ඇණවුම් ලිපිනය මැකීමට නොහැකි විය."
"The order address couldn't be saved.","ඇණවුම් ලිපිනය සුරැකීමට නොහැකි විය."
"The credit memo couldn't be deleted.","ණය සංදේශය මැකීමට නොහැකි විය."
"The credit memo couldn't be saved.","ණය සංදේශය සුරැකීමට නොහැකි විය."
"The shipment couldn't be deleted.","නැව්ගත කිරීම මැකීමට නොහැකි විය."
"The shipment couldn't be saved.","නැව්ගත කිරීම සුරැකිය නොහැකි විය."
"The last status can't be changed and needs to stay assigned to its current state.","අවසාන තත්ත්‍වය වෙනස් කළ නොහැකි අතර එහි වත්මන් තත්ත්වයට පැවරීම අවශ්‍ය වේ."
"The status can't be unassigned because the status is currently used by an order.","තත්ත්‍වය දැනට ඇණවුමක් මඟින් භාවිත වන නිසා තත්ත්වය පැවරීම ඉවත් කළ නොහැක."
"The status needs to remain assigned to its state.","තත්වය එහි ප්‍රාන්තයට පැවරී තිබිය යුතුය."
"The ""%1"" validator is not an instance of the general validator interface.","""%1"" වලංගුකාරකය සාමාන්‍ය වලංගුකාරක අතුරුමුහුණතෙහි අවස්ථාවක් නොවේ."
"The creditmemo contains incorrect product items.","ණය පත්‍රිකාවේ වැරදි නිෂ්පාදන අයිතම අඩංගු වේ."
"You can not refund shipping if there is no shipping amount.","නැව්ගත කිරීමේ මුදලක් නොමැති නම් ඔබට නැව්ගත කිරීම ආපසු ගෙවිය නොහැක."
