"Credit Memos","ક્રેડિટ મેમોસ"
"Invoice Comment Email Sender","ઇનવોઇસ ટિપ્પણી ઇમેઇલ પ્રેષક"
"Invoice Comment Email Template","ભરતિયું ટિપ્પણી ઇમેઇલ ઢાંચો"
"Invoice Comment Email Template for Guest","ગેસ્ટ માટે ભરતિયું ઇમેઇલ ઇમેઇલ ઢાંચો"
"Send Invoice Comment Email Copy To","ભરતિયું ટિપ્પણી ઇમેઇલ કૉપિ મોકલો"
"Send Invoice Comments Email Copy Method","ભરતિયું ટિપ્પણીઓ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
"Shipment","શિપમેન્ટ"
"Shipment Email Sender","શિપમેન્ટ ઇમેઇલ પ્રેષક"
"Shipment Email Template","શિપમેન્ટ ઇમેઇલ ઢાંચો"
"Shipment Email Template for Guest","મહેમાન માટે શિપમેન્ટ ઇમેઇલ ઢાંચો"
"Send Shipment Email Copy To","મોકલેલ ઇમેઇલ કૉપિ મોકલો"
"Send Shipment Email Copy Method","મોકલેલ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
"Shipment Comments","શિપમેન્ટ ટિપ્પણીઓ"
"Shipment Comment Email Sender","મોકલેલ ઇમેઇલ પ્રેષક"
"Shipment Comment Email Template","શિપમેન્ટ ટિપ્પણી ઇમેઇલ ઢાંચો"
"Shipment Comment Email Template for Guest","ગેસ્ટ માટે મોકલેલ ઇમેઇલ ઢાંચો"
"Send Shipment Comment Email Copy To","મોકલો મોકલો ઇમેઇલ કૉપિ કરો"
"Send Shipment Comments Email Copy Method","મોકલેલ ટિપ્પણીઓ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
"Credit Memo Email Sender","ક્રેડિટ મેમો ઇમેઇલ પ્રેષક"
"Credit Memo Email Template","ક્રેડિટ મેમો ઇમેઇલ ઢાંચો"
"Credit Memo Email Template for Guest","મહેમાન માટે ક્રેડિટ મેમો ઇમેઇલ ઢાંચો"
"Send Credit Memo Email Copy To","ક્રેડિટ મેમો ઇમેઇલ કૉપિ મોકલો"
"Send Credit Memo Email Copy Method","ક્રેડિટ મેમો ઇમેઇલ કૉપિ પદ્ધતિ મોકલો"
"Credit Memo Comment Email Sender","ક્રેડિટ મેમો ઇમેઇલ પ્રેષક ટિપ્પણી"
"Credit Memo Comment Email Template","ક્રેડિટ મેમો ટિપ્પણી ઇમેઇલ ઢાંચો"
"Credit Memo Comment Email Template for Guest","મહેમાન માટે ક્રેડિટ મેમો ટિપ્પણી ઇમેઇલ ઢાંચો"
"Send Credit Memo Comment Email Copy To","ક્રેડિટ મેમો ટિપ્પણી ઇમેઇલ કૉપિ મોકલો"
"Send Credit Memo Comments Email Copy Method","ક્રેડિટ મેમો ટિપ્પણીઓ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
"PDF Print-outs","પીડીએફ પ્રિન્ટ-આઉટ"
"Display Order ID in Header","હેડરમાં ઑર્ડર ID દર્શાવો"
"Customer Order Status Notification","ગ્રાહક ઓર્ડર સ્થિતિ સૂચન"
"Asynchronous indexing","અસુમેળ અનુક્રમણિકા"
"Orders and Returns Search Form","ઓર્ડર અને રીટર્ન શોધ ફોર્મ"
"Anchor Custom Title","એન્કર કસ્ટમ શીર્ષક"
"Template","ઢાંચો"
"Default Template","મૂળભૂત ઢાંચો"
"Name","નામ"
"Phone","ફોન"
"ZIP/Post Code","ઝીપ / પોસ્ટ કોડ"
"Signed-up Point","સાઇન અપ પોઇન્ટ"
"Website","વેબસાઇટ"
"Bill-to Name","બિલ-ટુ નામ"
"Created","બનાવ્યું"
"Invoice Date","ભરતિયું તારીખ"
"Ship-to Name","શિપ ટુ નામ"
"Ship Date","શિપ તારીખ"
"Total Quantity","કુલ જથ્થો"
"Default Status","ડિફોલ્ટ સ્થિતિ"
"State Code and Title","રાજ્ય કોડ અને શીર્ષક"
"Item Status","આઇટમ સ્થિતિ"
"Original Price","મૂળ કિંમત"
"Tax Percent","કરવેરા"
"All Store Views","બધા સ્ટોર દૃશ્યો"
"PDF Credit Memos","પીડીએફ ક્રેડિટ મેમોસ"
"Purchase Point","ખરીદી પોઇન્ટ"
"Print Invoices","પ્રિંટ ઇનવોઇસ"
"Print Packing Slips","પેકિંગ સ્લિપ છાપો"
"Print Credit Memos","ક્રેડિટ મેમો છાપો"
"Print All","બધા છાપો"
"Print Shipping Labels","શિપિંગ લેબલ્સ છાપો"
"Purchase Date","ખરીદ તારીખ"
"Grand Total (Base)","ગ્રાન્ડ ટોટલ (બેઝ)"
"Grand Total (Purchased)","ગ્રાન્ડ કુલ (ખરીદી)"
"Customer Email","ગ્રાહક ઇમેઇલ"
"Shipping and Handling","શિપિંગ અને હેન્ડલિંગ"
"PDF Invoices","પીડીએફ ઇનવોઇસ"
"PDF Shipments","પીડીએફ શિપમેન્ટ્સ"
"PDF Creditmemos","પીડીએફ ક્રેડિટમેનિઓ"
"Refunds","રિફંડ્સ"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Something went wrong"
"Page not found.","Page not found."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Could not save the comment.","Could not save the comment."
"Authorized amount of %1.","Authorized amount of %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Captured amount of %1 online.","Captured amount of %1 online."
"Requested product doesn't exist","Requested product doesn't exist"
"Product is not salable.","Product is not salable."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","ઝીરો ગ્રાન્ડટૉટલને મંજૂરી આપો"
"Allow Zero GrandTotal for Creditmemo","ક્રેડિટમેમો માટે ઝીરો ગ્રાન્ડટૉટલને મંજૂરી આપો"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","The shipment couldn't be deleted."
"The shipment couldn't be saved.","The shipment couldn't be saved."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
